pathway	pval	padj	ES	NES	nMoreExtreme	size	data	type
alzheimer	0.256548856548857	0.513097713097713	0.801326595072647	1.27311677078586	1233	2	gtex	adult specific
ALS	0.152266894781865	0.513097713097713	0.955190464923696	1.26915239562176	533	8	gtex	adult specific
BP	0.72530261616556	0.870363139398672	0.713707053060665	0.894475764198192	3714	12	gtex	adult specific
epilepsy_ndd	0.975418332592922	0.975418332592922	-0.488625214741369	-0.565223180697623	6586	7	gtex	adult specific
EPI	0.855919136542745	0.933729967137539	-0.580755421513715	-0.702197899756229	4995	3	gtex	adult specific
constraint_genes	0.643255463451394	0.857673951268526	-0.489851366992094	-0.919068041974466	4267	240	gtex	adult specific
scz	0.567730634488128	0.857673951268526	-0.615550167542976	-0.932882154550122	2916	44	gtex	adult specific
prenatal_high_expressed_genes	0.595634692705342	0.857673951268526	-0.499912762302628	-0.954401704323458	5184	387	gtex	adult specific
adult_high_expressed_genes	0.220732439463678	0.513097713097713	-0.545967124966641	-1.05417102618912	2205	452	gtex	adult specific
ASD	0.106987251896079	0.513097713097713	-0.898357048062224	-1.26504367545444	662	35	gtex	adult specific
MS	0.198731501057082	0.513097713097713	-0.95260663507109	-1.26513504400005	1033	3	gtex	adult specific
NDD	0.00743064729194188	0.0891677675033025	-0.85499205751192	-1.48086678673237	44	121	gtex	adult specific
BP	0.045774647887324	0.274647887323944	0.482301912910278	1.53030918739264	116	12	hdbr	prenatal specific
EPI	0.417464114832536	0.990301739046222	0.495102685624013	0.961727564489532	1395	3	hdbr	prenatal specific
MS	0.907776594125704	0.990301739046222	-0.389809377657506	-0.653588927160175	5964	3	hdbr	prenatal specific
ASD	0.897305022458146	0.990301739046222	-0.250297039825211	-0.722734464002971	8789	35	hdbr	prenatal specific
constraint_genes	0.997800219978002	0.997800219978002	-0.241827380551584	-0.74835224811009	9978	240	hdbr	prenatal specific
scz	0.836793052319424	0.990301739046222	-0.236845198697207	-0.774751059361588	7900	44	hdbr	prenatal specific
alzheimer	0.670541449984705	0.990301739046222	-0.60330939359032	-0.878214706865378	4383	2	hdbr	prenatal specific
NDD	0.703770377037704	0.990301739046222	-0.28729203532101	-0.926593824767852	7036	121	hdbr	prenatal specific
prenatal_high_expressed_genes	0.693730626937306	0.990301739046222	-0.399548775022023	-0.987299856604649	6937	387	hdbr	prenatal specific
epilepsy_ndd	0.498302114141746	0.990301739046222	-0.506722342514824	-1.02046758797421	4548	7	hdbr	prenatal specific
ALS	0.175445441539862	0.701781766159449	-0.548878547825291	-1.27837806537294	1348	8	hdbr	prenatal specific
adult_high_expressed_genes	9.99900009999e-05	0.0011998800119988	-0.439369338825781	-1.3179441618211	0	452	hdbr	prenatal specific
constraint_genes	0.7352	0.7352	-0.416210942016822	-0.937585121614656	7351	240	hdbr	shared
epilepsy_ndd	0.659646483640466	0.7196143457896	-0.621453126647685	-0.941006329601377	5261	7	hdbr	shared
prenatal_high_expressed_genes	0.65013498650135	0.7196143457896	-0.474642125732327	-0.989201474566101	6501	387	hdbr	shared
scz	0.463128800442233	0.617505067256311	-0.479048746684556	-1.01469030378162	4188	44	hdbr	shared
ASD	0.4502885042166	0.617505067256311	-0.505616159625812	-1.02794116854793	4057	35	hdbr	shared
alzheimer	0.425911188922489	0.617505067256311	-0.806332833620904	-1.0749145503638	2675	2	hdbr	shared
ALS	0.345832743738503	0.617505067256311	-0.692153588588432	-1.13152613955883	2443	8	hdbr	shared
MS	0.270326719379382	0.617505067256311	-0.833075032001761	-1.14029714879777	1811	3	hdbr	shared
EPI	0.266925141664181	0.617505067256311	-0.816799989949717	-1.14389810165862	1789	3	hdbr	shared
BP	0.25033449290875	0.617505067256311	-0.678916203443195	-1.19323813114778	1870	12	hdbr	shared
NDD	0.0785844656256337	0.471506793753802	-0.532452655992011	-1.20432325248502	774	121	hdbr	shared
adult_high_expressed_genes	9.99900009999e-05	0.0011998800119988	-0.671911111688177	-1.5073024127148	0	452	hdbr	shared
