pathway	pval	padj	ES	NES	nMoreExtreme	size
alzheimer	0.256548856548857	0.513097713097713	0.801326595072647	1.27311677078586	1233	2
ALS	0.152266894781865	0.513097713097713	0.955190464923696	1.26915239562176	533	8
BP	0.72530261616556	0.870363139398672	0.713707053060665	0.894475764198192	3714	12
epilepsy_ndd	0.975418332592922	0.975418332592922	-0.488625214741369	-0.565223180697623	6586	7
EPI	0.855919136542745	0.933729967137539	-0.580755421513715	-0.702197899756229	4995	3
constraint_genes	0.643255463451394	0.857673951268526	-0.489851366992094	-0.919068041974466	4267	240
scz	0.567730634488128	0.857673951268526	-0.615550167542976	-0.932882154550122	2916	44
prenatal_high_expressed_genes	0.595634692705342	0.857673951268526	-0.499912762302628	-0.954401704323458	5184	387
adult_high_expressed_genes	0.220732439463678	0.513097713097713	-0.545967124966641	-1.05417102618912	2205	452
ASD	0.106987251896079	0.513097713097713	-0.898357048062224	-1.26504367545444	662	35
MS	0.198731501057082	0.513097713097713	-0.95260663507109	-1.26513504400005	1033	3
NDD	0.00743064729194188	0.0891677675033025	-0.85499205751192	-1.48086678673237	44	121
