pathway	pval	padj	ES	NES	nMoreExtreme	size
MS	0.272672732726727	0.688076646880766	0.903633491311216	1.43889815328425	2726	3
EPI	0.234776522347765	0.688076646880766	0.884044233807267	1.38671125530767	2347	3
ALS	0.103689631036896	0.622137786221378	0.940633502898379	1.15696231243745	1036	8
alzheimer	0.518448155184482	0.688076646880766	0.621604548325963	1.07520019000822	5184	2
epilepsy_ndd	0.501249875012499	0.688076646880766	0.845922817246585	1.06556749901282	5012	7
BP	0.492950704929507	0.688076646880766	0.873257287705957	1.02510508666088	4929	12
ASD	0.316168383161684	0.688076646880766	0.857047362261383	1.01889289153891	3161	35
constraint_genes	0.0834916508349165	0.622137786221378	0.844700412615169	1.01848670511735	834	240
prenatal_high_expressed_genes	0.581741825817418	0.688076646880766	0.825383798160321	0.998367277029822	5817	387
NDD	0.630736926307369	0.688076646880766	0.828728293212866	0.994487543403605	6307	121
adult_high_expressed_genes	0.946405359464054	0.946405359464054	0.8220283480444	0.993120675705118	9464	452
scz	0.601839816018398	0.688076646880766	0.838863613661336	0.991791975491965	6018	44
