pathway	pval	padj	ES	NES	nMoreExtreme	size
constraint_genes	0.0932674490426189	0.279802347127857	0.232272246937725	1.0684298258316	301	1202
BP	0.840987191502656	0.993700629937006	0.209885197933144	0.798932563274069	5383	69
MS	0.981905524419536	0.993700629937006	0.185249752588526	0.54633706993808	6131	21
alzheimer	0.916930212945393	0.993700629937006	-0.264813710690719	-0.665850889452124	4348	13
ALS	0.582539967666607	0.87380995149991	-0.307425753188657	-0.922779581967761	3242	32
adult_high_expressed_genes	0.993700629937006	0.993700629937006	-0.333050646503116	-0.985772228393412	9937	1499
prenatal_high_expressed_genes	0.166683351686856	0.333366703373711	-0.275962738946118	-1.05275175672244	1664	1483
scz	0.238227146814404	0.408389394538979	-0.250848220444822	-1.08018749329183	1031	189
ASD	0.133310068050951	0.319944163322282	-0.298932913945303	-1.15327449503426	763	164
NDD	0.0420438852232622	0.168175540893049	-0.267324663611928	-1.15891203970072	273	582
EPI	0.029986962190352	0.168175540893049	-0.592955475903115	-1.59539748002036	114	13
epilepsy_ndd	0.000179340028694405	0.00215208034433286	-0.811540282089538	-2.19999775593164	0	22
