pathway	pval	padj	ES	NES	nMoreExtreme	size
epilepsy_ndd	9.99900009999e-05	0.0011998800119988	0.781301086655997	1.63011336303334	0	22
EPI	0.139486051394861	0.418458154184582	0.55963947673732	1.25020759082443	1394	13
ASD	0.0121987801219878	0.0487951204879512	0.497622792741719	1.17674391291605	121	164
NDD	0.0117988201179882	0.0487951204879512	0.448767764131155	1.09981969857179	117	582
scz	0.466953304669533	0.969503049695031	0.388776337497092	1.00676492082757	4669	189
adult_high_expressed_genes	0.959104089591041	0.969503049695031	0.467741508584191	0.994011737355893	9591	1499
ALS	0.524947505249475	0.969503049695031	0.44514901601241	0.993190167745132	5249	32
prenatal_high_expressed_genes	0.694730526947305	0.969503049695031	0.437110926736015	0.988729650968945	6947	1483
constraint_genes	0.844715528447155	0.969503049695031	0.396532820429234	0.968991439207759	8447	1202
BP	0.951404859514049	0.969503049695031	0.287206357471988	0.784055284696092	9514	69
MS	0.944905509449055	0.969503049695031	0.256443525644516	0.650429106242098	9449	21
alzheimer	0.969503049695031	0.969503049695031	0.27687719399822	0.580315490101328	9695	13
