pathway	pval	padj	ES	NES	nMoreExtreme	size
ALS	0.329936305732484	0.698780624859519	0.280366979916712	1.0643440441718	517	32
MS	0.599230457675172	0.774689197746892	0.276993192280358	0.903871111844606	2958	22
prenatal_high_expressed_genes	1	1	-0.172773929293362	-0.50984915065333	10000	1651
NDD	0.633836616338366	0.774689197746892	-0.270177826889737	-0.971077432958299	6338	635
alzheimer	0.475428571428571	0.747102040816326	-0.373594306679705	-0.994100398862935	3327	16
adult_high_expressed_genes	1	1	-0.411598726037559	-1	10000	1664
BP	0.381153068105192	0.698780624859519	-0.252677141868344	-1.03880216068375	2260	74
ASD	0.34598349104087	0.698780624859519	-0.312737097793373	-1.0605913410309	3436	175
scz	0.20679766330324	0.698780624859519	-0.274721619590144	-1.13066478177015	1946	209
EPI	0.0822050290135397	0.452127659574468	-0.530767508648519	-1.4193902197602	509	14
epilepsy_ndd	0.0108225108225108	0.119047619047619	-0.597196422636946	-1.57492294969536	94	25
constraint_genes			0.198643868372312		0	1321
