pathway	pval	padj	ES	NES	nMoreExtreme	size
epilepsy_ndd	0.0274972502749725	0.32996700329967	0.566664295076781	1.34472722112383	274	25
EPI	0.29037096290371	0.696890310968903	0.474435050210822	1.13007818048888	2903	14
scz	0.0756924307569243	0.454154584541546	0.38540348254151	1.12119634585773	756	209
ASD	0.133486651334867	0.533946605339466	0.400482572512997	1.09770418984692	1334	175
NDD	0.196980301969803	0.590940905909409	0.366463323842652	1.0416859003394	1969	635
alzheimer	0.478052194780522	0.956104389561044	0.426659498151454	1.01236696793383	4780	16
adult_high_expressed_genes	1	1	0.390316893340935	1	10000	1664
constraint_genes	0.967803219678032	1	0.327645611926754	0.935898609158868	9678	1321
MS	0.648235176482352	1	0.348653263977021	0.915392745386341	6482	22
ALS	0.768423157684232	1	0.347082188842223	0.872123240302737	7684	32
prenatal_high_expressed_genes	1	1	0.313522086463209	0.847089576275826	10000	1651
BP	0.944305569443056	1	0.271553920611391	0.78523600140657	9443	74
