pathway	pval	padj	ES	NES	nMoreExtreme	size
BP	0.045774647887324	0.274647887323944	0.482301912910278	1.53030918739264	116	12
EPI	0.417464114832536	0.990301739046222	0.495102685624013	0.961727564489532	1395	3
MS	0.907776594125704	0.990301739046222	-0.389809377657506	-0.653588927160175	5964	3
ASD	0.897305022458146	0.990301739046222	-0.250297039825211	-0.722734464002971	8789	35
constraint_genes	0.997800219978002	0.997800219978002	-0.241827380551584	-0.74835224811009	9978	240
scz	0.836793052319424	0.990301739046222	-0.236845198697207	-0.774751059361588	7900	44
alzheimer	0.670541449984705	0.990301739046222	-0.60330939359032	-0.878214706865378	4383	2
NDD	0.703770377037704	0.990301739046222	-0.28729203532101	-0.926593824767852	7036	121
prenatal_high_expressed_genes	0.693730626937306	0.990301739046222	-0.399548775022023	-0.987299856604649	6937	387
epilepsy_ndd	0.498302114141746	0.990301739046222	-0.506722342514824	-1.02046758797421	4548	7
ALS	0.175445441539862	0.701781766159449	-0.548878547825291	-1.27837806537294	1348	8
adult_high_expressed_genes	9.99900009999e-05	0.0011998800119988	-0.439369338825781	-1.3179441618211	0	452
