pathway	pval	padj	ES	NES	nMoreExtreme	size
BP	0.315068493150685	0.997800219978002	0.430148340794729	1.0832980138664	3150	12
alzheimer	0.45965403459654	0.997800219978002	0.586884883167073	1.03856055121825	4596	2
MS	0.429357064293571	0.997800219978002	0.527576822595194	1.02398583786541	4293	3
prenatal_high_expressed_genes	0.163283671632837	0.997800219978002	0.326654115102714	1.01803507984078	1632	387
constraint_genes	0.40965903409659	0.997800219978002	0.320000005219678	1.00982612882047	4096	240
adult_high_expressed_genes	0.997800219978002	0.997800219978002	0.285468697868649	0.900622903786774	9978	452
NDD	0.937906209379062	0.997800219978002	0.287682718656906	0.890958293233733	9379	121
ALS	0.664133586641336	0.997800219978002	0.370397535167064	0.878363107276958	6641	8
scz	0.972002799720028	0.997800219978002	0.270350374216687	0.799941106594972	9720	44
epilepsy_ndd	0.807219278072193	0.997800219978002	0.350179567257693	0.779510665990348	8072	7
ASD	0.985701429857014	0.997800219978002	0.266500780135199	0.755060114059802	9857	35
EPI	0.995100489951005	0.997800219978002	0.123599324001616	0.235938349894939	9951	3
