pathway	pval	padj	ES	NES	nMoreExtreme	size
adult_high_expressed_genes	0.000101276078590237	0.00121531294308284	0.493281642442707	2.16118840165353	0	1421
alzheimer	0.0127920859628177	0.038376257888453	0.671268208975004	1.65206513739012	74	10
epilepsy_ndd	0.0193866200540283	0.0387732401080566	0.563499385558195	1.56538985530919	121	20
scz	0.0170446735395189	0.0387732401080566	0.320960236100036	1.33017632016097	123	186
EPI	0.145943097997893	0.218914646996839	0.521261878914955	1.29704726045779	830	12
ASD	0.0452446906740536	0.0775623268698061	0.32316518220547	1.26852879512697	342	159
NDD	0.0081846083892236	0.0327384335568944	0.284852717271079	1.24387048147603	71	553
prenatal_high_expressed_genes	0.201479852014799	0.241775822417758	0.241620374242254	1.01238719369013	2014	1579
ALS	0.72068196303378	0.786198505127759	0.260854626213521	0.847727160071514	4522	35
MS	0.996381182147165	0.996381182147165	-0.14794356448822	-0.468165361310597	4129	18
BP	0.201224603395491	0.241775822417758	-0.284375499542405	-1.15119904146483	722	61
constraint_genes	0.00306748466257669	0.0184049079754601	-0.241856805160081	-1.20140411004199	0	1233
