pathway	pval	padj	ES	NES	nMoreExtreme	size
epilepsy_ndd	0.022997700229977	0.137986201379862	0.605585209411943	1.35496594947615	229	20
alzheimer	0.121087891210879	0.290610938906109	0.56936585431224	1.3018209195959	1210	10
adult_high_expressed_genes	9.99900009999e-05	0.0011998800119988	0.481652945982438	1.2227875683647	0	1421
BP	0.0977902209779022	0.290610938906109	0.431559619675968	1.18087892567435	977	61
scz	0.174982501749825	0.34996500349965	0.408739334501666	1.07307542161498	1749	186
NDD	0.0898910108989101	0.290610938906109	0.40850476648338	1.05939977506443	898	553
ASD	0.397460253974603	0.596190380961904	0.405960499407468	1.02071637361993	3974	159
EPI	0.496150384961504	0.661533846615338	0.465259523517705	1.00657687537965	4961	12
prenatal_high_expressed_genes	0.347565243475652	0.595826131672547	0.403330780583966	1.00249033228001	3475	1579
constraint_genes	0.615438456154385	0.738526147385262	0.38475175390165	0.99108109663735	6154	1233
ALS	0.954904509549045	0.993000699930007	0.290482329813114	0.721446111945291	9549	35
MS	0.993000699930007	0.993000699930007	0.162921216554101	0.439856991530801	9930	18
