pathway	pval	padj	ES	NES	nMoreExtreme	size
BP	0.0951986754966887	0.380794701986755	0.26447702424908	1.25519896161431	229	73
MS	0.328036322360954	0.787287173666288	0.320163184316079	1.09063885020993	1444	21
EPI	0.924238513164688	1	-0.240922319776972	-0.624668841523204	7160	14
ASD	0.987593796898449	1	-0.198661231477699	-0.674853025448906	9870	178
epilepsy_ndd	0.88840548183598	1	-0.249937944424172	-0.690561791714398	8167	25
constraint_genes	1	1	-0.197044959222403	-0.703403431086512	10000	1368
NDD	0.998500149985001	1	-0.209063390390148	-0.759745639156904	9985	647
prenatal_high_expressed_genes	1	1	-0.343683604860818	-1	10000	1697
scz	0.438470849304015	0.876941698608029	-0.260295673004582	-1.02265423312389	4346	207
alzheimer	0.242536759245507	0.727610277736522	-0.408862303397263	-1.18545748464005	1632	16
ALS	0.0581575497556906	0.348945298534144	-0.432591416132946	-1.41431664335258	487	35
adult_high_expressed_genes	9.99900009999e-05	0.0011998800119988	-0.455949306566955	-1.5581055140653	0	1651
