pathway	pval	padj	ES	NES	nMoreExtreme	size
adult_high_expressed_genes	9.99900009999e-05	0.0011998800119988	0.352597881243437	1.15676474415839	0	1651
prenatal_high_expressed_genes	1	1	0.3081645631212	1	10000	1697
scz	0.792720727927207	1	0.291429752290917	0.926231206942834	7927	207
ALS	0.686931306869313	1	0.318907584721397	0.90959488647796	6869	35
BP	0.747825217478252	1	0.291660906167362	0.904162341908969	7478	73
constraint_genes	1	1	0.25981635393128	0.855878376475396	10000	1368
EPI	0.838716128387161	1	0.297356893858586	0.753921155720896	8387	14
NDD	1	1	0.228262840451595	0.747211800484198	10000	647
alzheimer	0.865213478652135	1	0.282411228487989	0.734266170846704	8652	16
ASD	0.999600039996001	1	0.226829475376081	0.714395746287601	9996	178
MS	0.90950904909509	1	0.254027195311633	0.696225251281539	9095	21
epilepsy_ndd	0.975302469753025	1	0.227235543435954	0.620540519825927	9753	25
