pathway	pval	padj	ES	NES	nMoreExtreme	size
constraint_genes	0.7352	0.7352	-0.416210942016822	-0.937585121614656	7351	240
epilepsy_ndd	0.659646483640466	0.7196143457896	-0.621453126647685	-0.941006329601377	5261	7
prenatal_high_expressed_genes	0.65013498650135	0.7196143457896	-0.474642125732327	-0.989201474566101	6501	387
scz	0.463128800442233	0.617505067256311	-0.479048746684556	-1.01469030378162	4188	44
ASD	0.4502885042166	0.617505067256311	-0.505616159625812	-1.02794116854793	4057	35
alzheimer	0.425911188922489	0.617505067256311	-0.806332833620904	-1.0749145503638	2675	2
ALS	0.345832743738503	0.617505067256311	-0.692153588588432	-1.13152613955883	2443	8
MS	0.270326719379382	0.617505067256311	-0.833075032001761	-1.14029714879777	1811	3
EPI	0.266925141664181	0.617505067256311	-0.816799989949717	-1.14389810165862	1789	3
BP	0.25033449290875	0.617505067256311	-0.678916203443195	-1.19323813114778	1870	12
NDD	0.0785844656256337	0.471506793753802	-0.532452655992011	-1.20432325248502	774	121
adult_high_expressed_genes	9.99900009999e-05	0.0011998800119988	-0.671911111688177	-1.5073024127148	0	452
