pathway	pval	padj	ES	NES	nMoreExtreme	size
MS	0.228577142285771	0.431785392889282	0.804007101512029	1.24313905591739	2285	3
alzheimer	0.406559344065593	0.542079125420791	0.714734602414334	1.21741009742864	4065	2
EPI	0.313268673132687	0.46990300969903	0.734967446505799	1.20170393298277	3132	3
epilepsy_ndd	0.15998400159984	0.431785392889282	0.755933776231151	1.17658533800155	1599	7
adult_high_expressed_genes	9.99900009999e-05	0.0011998800119988	0.598908696668311	1.10384045924627	0	452
ASD	0.190780921907809	0.431785392889282	0.631599704243138	1.07155898877416	1907	35
constraint_genes	0.0180981901809819	0.108589141085891	0.588066450325444	1.07153515115835	180	240
NDD	0.0695930406959304	0.278372162783722	0.601689786760117	1.06830223584804	695	121
scz	0.251874812518748	0.431785392889282	0.613606845113964	1.04643032408862	2518	44
BP	0.48025197480252	0.576302369763024	0.638992249070572	1.00903410056591	4802	12
prenatal_high_expressed_genes	0.780821917808219	0.799220077992201	0.540176887211268	0.990453462618713	7808	387
ALS	0.799220077992201	0.799220077992201	0.560508018968178	0.877494888291516	7992	8
