data	type	pathway	pval	padj	ES	NES	nMoreExtreme	size	ctrlExpr
gtex	pseudotimeDE	constraint_genes	0.00687448145075264	0.0164987554818063	0.232272246937725	1.22660243970967	57	1202	FALSE
gtex	pseudotimeDE	BP	0.817554240631164	0.906630467059772	0.209885197933144	0.81328268404288	4973	69	FALSE
gtex	pseudotimeDE	MS	0.976099757533772	0.976099757533772	0.185249752588526	0.552418695929938	5635	21	FALSE
gtex	pseudotimeDE	alzheimer	0.831077928138124	0.906630467059772	-0.264813710690719	-0.721344418370512	3561	13	FALSE
gtex	pseudotimeDE	ALS	0.353823814133591	0.471765085511455	-0.307425753188657	-1.06274984490832	1461	32	FALSE
gtex	pseudotimeDE	scz	0.086460522365656	0.129690783548484	-0.250848220444822	-1.20923314281844	287	189	FALSE
gtex	pseudotimeDE	ASD	0.00990675990675991	0.0198135198135198	-0.298932913945303	-1.41002412994205	33	164	FALSE
gtex	pseudotimeDE	NDD	0.000425170068027211	0.00220913107511046	-0.267324663611928	-1.44611355707081	0	582	FALSE
gtex	pseudotimeDE	prenatal_high_expressed_genes	0.000730994152046784	0.00220913107511046	-0.275962738946118	-1.58882455402723	0	1483	FALSE
gtex	pseudotimeDE	EPI	0.0291647223518432	0.0499966668888741	-0.592955475903115	-1.61519251314178	124	13	FALSE
gtex	pseudotimeDE	adult_high_expressed_genes	0.000736377025036819	0.00220913107511046	-0.333050646503116	-1.919783752217	0	1499	FALSE
gtex	pseudotimeDE	epilepsy_ndd	0.00023696682464455	0.00220913107511046	-0.811540282089538	-2.55723891859849	0	22	FALSE
gtex	sexDE	constraint_genes	0.00245901639344262	0.00737704918032787	0.198643868372312	1.20398560906138	2	1321	FALSE
gtex	sexDE	ALS	0.418390804597701	0.502068965517241	0.280366979916712	1.01663799856395	1819	32	FALSE
gtex	sexDE	MS	0.57916194790487	0.63181303407804	0.276993192280358	0.911641533401643	2556	22	FALSE
gtex	sexDE	prenatal_high_expressed_genes	0.644739756367663	0.644739756367663	-0.172773929293362	-0.966297409533296	5821	1651	FALSE
gtex	sexDE	BP	0.383382401046778	0.502068965517241	-0.252677141868344	-1.04080850486612	2343	74	FALSE
gtex	sexDE	alzheimer	0.354243542435424	0.502068965517241	-0.373594306679705	-1.07774549396904	1919	16	FALSE
gtex	sexDE	scz	0.034538506760729	0.069077013521458	-0.274721619590144	-1.31652359025231	234	209	FALSE
gtex	sexDE	NDD	0.000506008855154965	0.00213485144991994	-0.270177826889737	-1.43796258609401	3	635	FALSE
gtex	sexDE	ASD	0.00707831325301205	0.0169879518072289	-0.312737097793373	-1.46312202803477	46	175	FALSE
gtex	sexDE	EPI	0.0563902800964571	0.0966690515939264	-0.530767508648519	-1.48018543653642	303	14	FALSE
gtex	sexDE	epilepsy_ndd	0.000533712862479986	0.00213485144991994	-0.597196422636947	-1.94897207304514	2	25	FALSE
gtex	sexDE	adult_high_expressed_genes	0.000110692937790569	0.00132831525348683	-0.411598726037559	-2.30303929591358	0	1664	FALSE
hdbr	pseudotimeDE	adult_high_expressed_genes	0.000106213489113117	0.000948654096999881	0.493281642442707	2.64482365558862	0	1421	FALSE
hdbr	pseudotimeDE	epilepsy_ndd	0.00768459739391915	0.0153691947878383	0.563499385558195	1.7037877672726	45	20	FALSE
hdbr	pseudotimeDE	alzheimer	0.0125797001550922	0.0188695502326383	0.671268208975004	1.6701407048399	72	10	FALSE
hdbr	pseudotimeDE	scz	0.00592368094778895	0.0142168342746935	0.320960236100036	1.47657510837601	42	186	FALSE
hdbr	pseudotimeDE	ASD	0.00910236661531998	0.0156040570548343	0.32316518220547	1.45852728941117	64	159	FALSE
hdbr	pseudotimeDE	NDD	0.00023716352424997	0.000948654096999881	0.284852717271079	1.45679695850635	1	553	FALSE
hdbr	pseudotimeDE	EPI	0.113178559235234	0.150904745646979	0.521261878914955	1.36491878082346	662	12	FALSE
hdbr	pseudotimeDE	prenatal_high_expressed_genes	0.000210194429847609	0.000948654096999881	0.241620374242254	1.29996511050188	1	1579	FALSE
hdbr	pseudotimeDE	ALS	0.622614040763507	0.679215317196553	0.260854626213521	0.900416590644534	3848	35	FALSE
hdbr	pseudotimeDE	MS	0.995575221238938	0.995575221238938	-0.14794356448822	-0.461239749574841	4049	18	FALSE
hdbr	pseudotimeDE	BP	0.174278509386383	0.209134211263659	-0.284375499542405	-1.18714744334641	621	61	FALSE
hdbr	pseudotimeDE	constraint_genes	0.00139082058414465	0.00417246175243394	-0.241856805160081	-1.44121860111028	0	1233	FALSE
hdbr	sexDE	BP	0.135593220338983	0.232445520581114	0.26447702424908	1.22301537491748	455	73	FALSE
hdbr	sexDE	MS	0.32972972972973	0.43963963963964	0.320163184316079	1.09339726024919	1280	21	FALSE
hdbr	sexDE	EPI	0.882943694435298	0.882943694435298	-0.240922319776972	-0.689230151627907	5362	14	FALSE
hdbr	sexDE	epilepsy_ndd	0.705030115578707	0.769123762449499	-0.249937944424171	-0.839517883429511	4330	25	FALSE
hdbr	sexDE	ASD	0.509943977591036	0.611932773109244	-0.198661231477699	-0.980418550645317	3640	178	FALSE
hdbr	sexDE	constraint_genes	0.0458555712885307	0.110053371092474	-0.197044959222403	-1.15678457032024	420	1368	FALSE
hdbr	sexDE	NDD	0.0648468232208845	0.129693646441769	-0.209063390390148	-1.17616962813591	543	647	FALSE
hdbr	sexDE	alzheimer	0.217448559670782	0.326172839506173	-0.408862303397263	-1.2147681397381	1320	16	FALSE
hdbr	sexDE	scz	0.0343543046357616	0.103062913907285	-0.260295673004582	-1.31287672439668	248	207	FALSE
hdbr	sexDE	ALS	0.0164694595458906	0.0658778381835625	-0.432591416132946	-1.58542377587678	102	35	FALSE
hdbr	sexDE	prenatal_high_expressed_genes	0.000106439595529537	0.000640273183224843	-0.343683604860818	-2.03426056274774	0	1697	FALSE
hdbr	sexDE	adult_high_expressed_genes	0.00010671219720414	0.000640273183224843	-0.455949306566955	-2.69707907920944	0	1651	FALSE
gtex	pseudotimeDE	constraint_genes	0.0932674490426189	0.279802347127857	0.232272246937725	1.0684298258316	301	1202	TRUE
gtex	pseudotimeDE	BP	0.840987191502656	0.993700629937006	0.209885197933144	0.798932563274069	5383	69	TRUE
gtex	pseudotimeDE	MS	0.981905524419536	0.993700629937006	0.185249752588526	0.54633706993808	6131	21	TRUE
gtex	pseudotimeDE	alzheimer	0.916930212945393	0.993700629937006	-0.264813710690719	-0.665850889452124	4348	13	TRUE
gtex	pseudotimeDE	ALS	0.582539967666607	0.87380995149991	-0.307425753188657	-0.922779581967761	3242	32	TRUE
gtex	pseudotimeDE	adult_high_expressed_genes	0.993700629937006	0.993700629937006	-0.333050646503116	-0.985772228393412	9937	1499	TRUE
gtex	pseudotimeDE	prenatal_high_expressed_genes	0.166683351686856	0.333366703373711	-0.275962738946118	-1.05275175672244	1664	1483	TRUE
gtex	pseudotimeDE	scz	0.238227146814404	0.408389394538979	-0.250848220444822	-1.08018749329183	1031	189	TRUE
gtex	pseudotimeDE	ASD	0.133310068050951	0.319944163322282	-0.298932913945303	-1.15327449503426	763	164	TRUE
gtex	pseudotimeDE	NDD	0.0420438852232622	0.168175540893049	-0.267324663611928	-1.15891203970072	273	582	TRUE
gtex	pseudotimeDE	EPI	0.029986962190352	0.168175540893049	-0.592955475903115	-1.59539748002036	114	13	TRUE
gtex	pseudotimeDE	epilepsy_ndd	0.000179340028694405	0.00215208034433286	-0.811540282089538	-2.19999775593164	0	22	TRUE
gtex	sexDE	ALS	0.329936305732484	0.698780624859519	0.280366979916712	1.0643440441718	517	32	TRUE
gtex	sexDE	MS	0.599230457675172	0.774689197746892	0.276993192280358	0.903871111844606	2958	22	TRUE
gtex	sexDE	prenatal_high_expressed_genes	1	1	-0.172773929293362	-0.50984915065333	10000	1651	TRUE
gtex	sexDE	NDD	0.633836616338366	0.774689197746892	-0.270177826889737	-0.971077432958299	6338	635	TRUE
gtex	sexDE	alzheimer	0.475428571428571	0.747102040816326	-0.373594306679705	-0.994100398862935	3327	16	TRUE
gtex	sexDE	adult_high_expressed_genes	1	1	-0.411598726037559	-1	10000	1664	TRUE
gtex	sexDE	BP	0.381153068105192	0.698780624859519	-0.252677141868344	-1.03880216068375	2260	74	TRUE
gtex	sexDE	ASD	0.34598349104087	0.698780624859519	-0.312737097793373	-1.0605913410309	3436	175	TRUE
gtex	sexDE	scz	0.20679766330324	0.698780624859519	-0.274721619590144	-1.13066478177015	1946	209	TRUE
gtex	sexDE	EPI	0.0822050290135397	0.452127659574468	-0.530767508648519	-1.4193902197602	509	14	TRUE
gtex	sexDE	epilepsy_ndd	0.0108225108225108	0.119047619047619	-0.597196422636946	-1.57492294969536	94	25	TRUE
gtex	sexDE	constraint_genes	0.198643868372312	0	1321	NA	NA	NA	TRUE
hdbr	pseudotimeDE	adult_high_expressed_genes	0.000101276078590237	0.00121531294308284	0.493281642442707	2.16118840165353	0	1421	TRUE
hdbr	pseudotimeDE	alzheimer	0.0127920859628177	0.038376257888453	0.671268208975004	1.65206513739012	74	10	TRUE
hdbr	pseudotimeDE	epilepsy_ndd	0.0193866200540283	0.0387732401080566	0.563499385558195	1.56538985530919	121	20	TRUE
hdbr	pseudotimeDE	scz	0.0170446735395189	0.0387732401080566	0.320960236100036	1.33017632016097	123	186	TRUE
hdbr	pseudotimeDE	EPI	0.145943097997893	0.218914646996839	0.521261878914955	1.29704726045779	830	12	TRUE
