pathway	pval	padj	ES	NES	nMoreExtreme	size
BPwithoutPsycho	0.0740892345476873	0.444535407286124	0.954858055207478	1.24338857133954	361	17
ALS	0.205780095610604	0.586947764200349	0.955190464923696	1.21598841707875	946	8
alzheimer	0.377331995987964	0.696612915670087	0.801326595072647	1.1909021525061	1880	2
BP2	0.51007556675063	0.729988273776461	0.831654915650094	1.06608943700287	2429	14
BP	0.703553947648436	0.804061654455355	0.713707053060665	0.905075992667941	3305	12
BPSchizo	0.703553947648436	0.804061654455355	0.713707053060665	0.905075992667941	3305	12
epilepsy_ndd	0.936669128508124	0.952554007672118	-0.488625214741369	-0.585980501782111	5072	7
DDspe	0.952554007672118	0.952554007672118	-0.473546655364837	-0.633561056184003	4717	22
EPI	0.742971887550201	0.810514786418401	-0.580755421513715	-0.75445409116969	3884	3
constraint_genes	0.60748367654445	0.767347801950884	-0.489851366992094	-0.921848801531068	2418	240
scz	0.546657986111111	0.729988273776461	-0.615550167542976	-0.938991240564622	2518	44
prenatal_high_expressed_genes	0.457795431976167	0.729988273776461	-0.499912762302628	-0.988895647320404	1843	387
BP1	0.545538861064738	0.729988273776461	-0.869323693696454	-1.04344962907536	2940	9
BPwithPsycho	0.547491205332346	0.729988273776461	-0.872950572634117	-1.0452092844937	2956	8
adult_high_expressed_genes	0.202452452452452	0.586947764200349	-0.545967124966641	-1.09619879578593	808	452
epilepsy_dee	0.295871134975005	0.591742269950009	-0.928153118804331	-1.1113049095996	1597	8
DEE	0.269017725258493	0.586947764200349	-0.934198038595381	-1.12033071340728	1456	7
ASDspe	0.240768094534712	0.586947764200349	-0.939259727934198	-1.12640091029672	1303	7
GGE	0.257410594759992	0.586947764200349	-0.933965244865719	-1.21330576331538	1345	3
MS	0.185503920443679	0.586947764200349	-0.95260663507109	-1.23752262394989	969	3
ASD	0.10096256684492	0.484620320855615	-0.898357048062224	-1.30978952113322	471	35
NAFE	0.0392586687923476	0.31406935033878	-0.986418193303854	-1.3237950443715	196	2
DD	0.0232397606994938	0.278877128393925	-0.845786362955721	-1.44695525558859	100	93
NDD	0.0080207596131163	0.192498230714791	-0.85499205751192	-1.50647035700773	33	121
