pathway	pval	padj	ES	NES	nMoreExtreme	size
NAFE	0.0498950104989501	0.813038696130387	0.97094125078964	1.76852943419298	498	2
MS	0.218678132186781	0.813038696130387	0.903633491311216	1.4561817866192	2186	3
EPI	0.268273172682732	0.813038696130387	0.884044233807267	1.42461420942675	2682	3
GGE	0.293670632936706	0.813038696130387	0.8739336492891	1.40832126635968	2936	3
ALS	0.155284471552845	0.813038696130387	0.940633502898379	1.16166482417338	1552	8
alzheimer	0.508149185081492	0.813038696130387	0.621604548325963	1.13222704179954	5081	2
ASDspe	0.419558044195581	0.813038696130387	0.87662132236634	1.11033733086518	4195	7
DEE	0.434656534346565	0.813038696130387	0.873457766529579	1.10633033941493	4346	7
BP2	0.201579842015798	0.813038696130387	0.918833227647432	1.07384321701993	2015	14
epilepsy_dee	0.478052194780522	0.813038696130387	0.86802653652585	1.07199657552499	4780	8
epilepsy_ndd	0.542445755424458	0.813668633136686	0.845922817246585	1.0714542973745	5424	7
BPwithoutPsycho	0.172082791720828	0.813038696130387	0.918996423979296	1.0686712475122	1720	17
BP	0.471652834716528	0.813038696130387	0.873257287705957	1.02896216324918	4716	12
BPSchizo	0.471652834716528	0.813038696130387	0.873257287705957	1.02896216324918	4716	12
constraint_genes	0.37996200379962	0.813038696130387	0.844700412615169	1.00482391286319	3799	240
ASD	0.504249575042496	0.813038696130387	0.857047362261383	1.0006756164493	5042	35
BPwithPsycho	0.706229377062294	0.901299343749836	0.80333031946956	0.992097954670208	7062	8
prenatal_high_expressed_genes	0.887811218878112	0.926411706655421	0.825383798160321	0.983918309734933	8878	387
scz	0.684731526847315	0.901299343749836	0.838863613661336	0.982156283202412	6847	44
NDD	0.796120387961204	0.926411706655421	0.828728293212865	0.981281667630932	7961	121
BP1	0.713528647135287	0.901299343749836	0.808544966251059	0.980808902728904	7135	9
adult_high_expressed_genes	0.94020597940206	0.94020597940206	0.8220283480444	0.980392440174826	9402	452
DD	0.840715928407159	0.926411706655421	0.824842639325635	0.974291513625595	8407	93
DDspe	0.853114688531147	0.926411706655421	0.806891761437216	0.937955849474723	8531	22
