pathway	pval	padj	ES	NES	nMoreExtreme	size
constraint_genes	0.00687448145075264	0.0206234443522579	0.232272246937725	1.22660243970967	57	1202
BPwithPsycho	0.167252048837598	0.286717798007311	0.339420621424514	1.22220829356525	999	47
ASDspe	0.41199724991406	0.569675274865763	0.314534657106023	1.03476896180898	2396	31
BPSchizo	0.779016393442623	0.906630467059772	0.215870192186302	0.83419127803951	4751	67
BP	0.817554240631164	0.906630467059772	0.209885197933144	0.81328268404288	4973	69
BP2	0.934359142249141	0.974983452781712	0.188453107580187	0.720734647502807	5707	63
MS	0.976099757533772	0.976099757533772	0.185249752588526	0.552418695929938	5635	21
alzheimer	0.831077928138124	0.906630467059772	-0.264813710690719	-0.721344418370512	3561	13
BPwithoutPsycho	0.489677077818952	0.618539466718676	-0.231279687140342	-0.984495537548168	1849	83
BP1	0.427256456149322	0.569675274865763	-0.248884227471455	-1.01009470934284	1670	64
DDspe	0.356870713741428	0.535306070612141	-0.254091150771329	-1.05306644054715	1404	71
ALS	0.353823814133591	0.535306070612141	-0.307425753188657	-1.06274984490832	1461	32
scz	0.086460522365656	0.159619425905826	-0.250848220444822	-1.20923314281844	287	189
ASD	0.00990675990675991	0.0243992606284658	-0.298932913945303	-1.41002412994205	33	164
NDD	0.000425170068027211	0.00255102040816327	-0.267324663611928	-1.44611355707081	0	582
DD	0.000374111485222596	0.00255102040816327	-0.278043197897626	-1.46355473214917	0	425
GGE	0.0766509433962264	0.153301886792453	-0.52742897684093	-1.46524198307604	324	14
prenatal_high_expressed_genes	0.000730994152046784	0.00294550810014728	-0.275962738946118	-1.58882455402723	0	1483
EPI	0.0291647223518432	0.0636321214949306	-0.592955475903115	-1.61519251314178	124	13
NAFE	0.0101663585951941	0.0243992606284658	-0.678669028834255	-1.75913610449794	43	11
DEE	0.00475737392959087	0.0163109963300258	-0.5968581117896	-1.80615202090917	19	19
adult_high_expressed_genes	0.000736377025036819	0.00294550810014728	-0.333050646503116	-1.919783752217	0	1499
epilepsy_dee	0.000240731824747232	0.00255102040816327	-0.68988543758808	-2.34859668210006	0	30
epilepsy_ndd	0.00023696682464455	0.00255102040816327	-0.811540282089538	-2.55723891859849	0	22
