pathway	pval	padj	ES	NES	nMoreExtreme	size
epilepsy_ndd	9.99900009999e-05	0.0002999700029997	0.781301086655996	1.97035785108978	0	22
epilepsy_dee	9.99900009999e-05	0.0002999700029997	0.723947556137544	1.88257130080477	0	30
DEE	0.0001999800019998	0.0005332800053328	0.739313469206402	1.83552751273742	1	19
ASDspe	0.0038996100389961	0.00935906409359064	0.57377012760961	1.49700955399631	38	31
ASD	9.99900009999e-05	0.0002999700029997	0.49762279274172	1.44427869328089	0	164
adult_high_expressed_genes	9.99900009999e-05	0.0002999700029997	0.467741508584191	1.42533690917889	0	1499
DD	9.99900009999e-05	0.0002999700029997	0.45468737817943	1.35918792843941	0	425
NDD	9.99900009999e-05	0.0002999700029997	0.448767764131155	1.35013767822188	0	582
prenatal_high_expressed_genes	9.99900009999e-05	0.0002999700029997	0.437110926736015	1.33189749584303	0	1483
EPI	0.0976902309769023	0.167468967388975	0.55963947673732	1.33048931308195	976	13
NAFE	0.135886411358864	0.203829617038296	0.558549520448298	1.29996124609042	1358	11
GGE	0.117188281171883	0.187501249875013	0.541730498566216	1.29851866318946	1171	14
BPwithPsycho	0.0448955104489551	0.0897910208979102	0.473767545979618	1.28010367229158	448	47
DDspe	0.0237976202379762	0.0519220805192208	0.458836428293127	1.27448662140588	237	71
constraint_genes	9.99900009999e-05	0.0002999700029997	0.396532820429234	1.20604302498878	0	1202
ALS	0.19028097190281	0.268631960333378	0.44514901601241	1.16503201316965	1902	32
scz	0.0690930906909309	0.127556475121719	0.388776337497092	1.13465461068182	690	189
BPwithoutPsycho	0.503049695030497	0.670732926707329	0.356019128752744	0.998884534633273	5030	83
BP1	0.596840315968403	0.75390355701272	0.349219511447969	0.963818574982409	5968	64
BP2	0.840715928407159	0.945905409459054	0.310599870048769	0.856222934257481	8407	63
BPSchizo	0.888311168883112	0.945905409459054	0.299107614968775	0.828340913663116	8883	67
BP	0.927007299270073	0.945905409459054	0.287206357471988	0.796429556498419	9270	69
alzheimer	0.902709729027097	0.945905409459054	0.27687719399822	0.65824903882479	9027	13
MS	0.945905409459054	0.945905409459054	0.256443525644516	0.643365133357893	9459	21
