pathway	pval	padj	ES	NES	nMoreExtreme	size
constraint_genes	0.00245901639344262	0.00983606557377049	0.198643868372312	1.20398560906138	2	1321
ALS	0.418390804597701	0.502068965517241	0.280366979916712	1.01663799856395	1819	32
BP2	0.522376738305942	0.597001986635362	0.222719999972262	0.96336775696637	2065	69
MS	0.57916194790487	0.63181303407804	0.276993192280358	0.911641533401643	2556	22
BP1	0.854789660415611	0.854789660415611	0.185729321024951	0.806086509352824	3372	70
prenatal_high_expressed_genes	0.644739756367663	0.672771919687997	-0.172773929293362	-0.966297409533296	5821	1651
BPSchizo	0.415990730011588	0.502068965517241	-0.249627204714997	-1.02041720841108	2512	72
DDspe	0.409579667644184	0.502068965517241	-0.245531506783225	-1.02463894499948	2513	80
BP	0.383382401046778	0.502068965517241	-0.252677141868344	-1.04080850486612	2343	74
BPwithoutPsycho	0.359507436430513	0.502068965517241	-0.24581204800811	-1.05099820789957	2247	93
alzheimer	0.354243542435424	0.502068965517241	-0.373594306679705	-1.07774549396904	1919	16
NAFE	0.219439252336449	0.376181575433912	-0.457451291910992	-1.21765332460511	1173	12
scz	0.034538506760729	0.0921026846952773	-0.274721619590144	-1.31652359025231	234	209
BPwithPsycho	0.0754845290717443	0.150969058143489	-0.349642831241279	-1.34776925257699	443	53
ASDspe	0.0840989399293286	0.155259581407991	-0.388355389610426	-1.35749836526247	475	34
NDD	0.000506008855154965	0.00256182173990393	-0.270177826889737	-1.43796258609401	3	635
ASD	0.00707831325301205	0.0242685025817556	-0.312737097793373	-1.46312202803477	46	175
EPI	0.0563902800964571	0.12303333839227	-0.530767508648519	-1.48018543653642	303	14
DEE	0.0465539188943444	0.111729405346427	-0.493447595323831	-1.49256409107958	255	19
DD	0.000396667988893296	0.00256182173990393	-0.288366472788338	-1.49875857098644	2	462
GGE	0.033210332103321	0.0921026846952773	-0.543151737356764	-1.56688505957232	179	16
epilepsy_ndd	0.000533712862479986	0.00256182173990393	-0.597196422636947	-1.94897207304514	2	25
epilepsy_dee	0.000176678445229682	0.00212014134275618	-0.587054061756338	-2.05205064864517	0	34
adult_high_expressed_genes	0.000110692937790569	0.00212014134275618	-0.411598726037559	-2.30303929591358	0	1664
