pathway	pval	padj	ES	NES	nMoreExtreme	size
DEE	0.0010998900109989	0.0083991600839916	0.647038453356802	1.66734517688884	10	19
epilepsy_ndd	0.006999300069993	0.0335966403359664	0.566664295076781	1.50305285717401	69	25
epilepsy_dee	0.0122987701229877	0.0421672118502435	0.518548869558222	1.41799422007978	122	34
GGE	0.0991900809919008	0.238056194380562	0.520142182249018	1.31099223632868	991	16
NAFE	0.143685631436856	0.313495923134959	0.527180087795459	1.27778368808314	1436	12
adult_high_expressed_genes	9.99900009999e-05	0.0023997600239976	0.390316893340935	1.25834599768923	0	1664
ASD	0.010998900109989	0.0421672118502435	0.400482572512997	1.22622836106935	109	175
DD	0.0005999400059994	0.0071992800719928	0.38452959437203	1.21364659591916	5	462
scz	0.0177982201779822	0.0533946605339466	0.38540348254151	1.18850347092765	177	209
EPI	0.246475352464754	0.422529175653863	0.474435050210822	1.1727668598559	2464	14
ASDspe	0.186281371862814	0.372562743725627	0.427264944483905	1.16837439494767	1862	34
NDD	0.0013998600139986	0.0083991600839916	0.366463323842652	1.16464394813644	13	635
BP2	0.22027797220278	0.406667025605132	0.381661060620793	1.10824651262626	2202	69
alzheimer	0.382461753824618	0.50994900509949	0.426659498151454	1.07537382800586	3824	16
constraint_genes	0.0903909609039096	0.238056194380562	0.327645611926754	1.05370505752069	903	1321
BPwithPsycho	0.373962603739626	0.50994900509949	0.369701114035028	1.05238772284929	3739	53
DDspe	0.380561943805619	0.50994900509949	0.354197093389966	1.03913945271434	3805	80
prenatal_high_expressed_genes	0.381761823817618	0.50994900509949	0.313522086463209	1.01068371320925	3817	1651
ALS	0.61013898610139	0.770701877180703	0.347082188842223	0.944242229868422	6101	32
MS	0.652634736526347	0.783161683831617	0.348653263977021	0.912676292967647	6526	22
BPwithoutPsycho	0.82961703829617	0.948133758052766	0.296358025353796	0.878103368833072	8296	93
BPSchizo	0.887311268873113	0.955304469553045	0.285226150891706	0.831165827377324	8873	72
BP	0.935906409359064	0.955304469553045	0.271553920611391	0.79240092596871	9359	74
BP1	0.955304469553045	0.955304469553045	0.263369422281084	0.765624928290579	9553	70
