pathway	pval	padj	ES	NES	nMoreExtreme	size
NAFE	0.0125028941884696	0.100023153507756	0.977290721586325	1.52187586956142	53	2
BP	0.0592545396623128	0.278326228404757	0.482301912910278	1.49763826984365	185	12
BPSchizo	0.0592545396623128	0.278326228404757	0.482301912910278	1.49763826984365	185	12
BPwithPsycho	0.0822446555819477	0.278326228404757	0.554448426100183	1.47419151764545	276	8
BP2	0.109698996655518	0.292530657748049	0.411775616245354	1.34816268678983	327	14
DEE	0.178754997144489	0.357509994288978	0.497590919794508	1.26548912678456	625	7
BPwithoutPsycho	0.230633802816901	0.395372233400402	0.338132349215071	1.16647336855661	654	17
GGE	0.337820992271254	0.506731488406881	0.608846761453397	1.10245129661003	1354	3
EPI	0.50261780104712	0.670157068062827	0.495102685624013	0.896492569687552	2015	3
BP1	0.640900791235545	0.716212776787987	0.304469225776755	0.849508396741553	2105	9
DDspe	0.93613238512035	0.93613238512035	-0.204348634981432	-0.65037795827702	6844	22
MS	0.892726059392726	0.931540235888062	-0.389809377657506	-0.659043513409826	5350	3
scz	0.656528378722321	0.716212776787987	-0.236845198697207	-0.884340179870768	5158	44
ASD	0.640290569464263	0.716212776787987	-0.250297039825211	-0.892427511412406	4935	35
alzheimer	0.63722730471499	0.716212776787987	-0.60330939359032	-0.902058799455983	3621	2
ASDspe	0.361692307692308	0.51062443438914	-0.480701842243393	-1.08963037980716	2350	7
constraint_genes	0.20757687060552	0.38321883804096	-0.241827380551584	-1.12634335480321	1977	240
epilepsy_ndd	0.307076923076923	0.491323076923077	-0.506722342514824	-1.14861232059027	1995	7
DD	0.163940132265924	0.357509994288978	-0.283698901765891	-1.20096845162122	1412	93
NDD	0.0927754094682522	0.278326228404757	-0.28729203532101	-1.25742064488541	826	121
ALS	0.157220379861321	0.357509994288978	-0.548878547825291	-1.30444359819746	1042	8
epilepsy_dee	0.0877298763943322	0.278326228404757	-0.593515492884741	-1.41052604112876	581	8
prenatal_high_expressed_genes	0.000101677681748856	0.00122013218098627	-0.399548775022023	-1.9160142761385	0	387
adult_high_expressed_genes	0.000101276078590237	0.00122013218098627	-0.439369338825781	-2.11929771006837	0	452
