pathway	pval	padj	ES	NES	nMoreExtreme	size
NAFE	0.0115988401159884	0.0927907209279072	0.963077202950823	1.80205513785267	115	2
ASDspe	0.0103989601039896	0.0927907209279072	0.728265876219945	1.68768863854615	103	7
DEE	0.166483351664834	0.799120087991201	0.53389576535725	1.23725392989469	1664	7
BPwithoutPsycho	0.204679532046795	0.818718128187181	0.419726536975891	1.13920556207848	2046	17
prenatal_high_expressed_genes	0.0088991100889911	0.0927907209279072	0.326654115102714	1.11487027840415	88	387
BP	0.279172082791721	0.837516248375163	0.430148340794729	1.10512681201339	2791	12
BPSchizo	0.279172082791721	0.837516248375163	0.430148340794729	1.10512681201339	2791	12
alzheimer	0.398260173982602	0.866913308669133	0.586884883167073	1.09814552332757	3982	2
constraint_genes	0.0786921307869213	0.472152784721528	0.320000005219678	1.07862419591669	786	240
epilepsy_dee	0.349365063493651	0.866913308669133	0.448341158786141	1.06814351975922	3493	8
MS	0.433456654334567	0.866913308669133	0.527576822595194	1.03177788253296	4334	3
BP1	0.404959504049595	0.866913308669133	0.421694830264058	1.02849383207647	4049	9
DDspe	0.498850114988501	0.92095405844031	0.349439817933184	0.98345027316391	4988	22
adult_high_expressed_genes	0.693130686931307	0.999100089991001	0.285468697868649	0.97776758140099	6931	452
NDD	0.776422357764224	0.999100089991001	0.287682718656906	0.943104476185922	7764	121
BP2	0.637536246375363	0.999100089991001	0.345836682352316	0.911106587999411	6375	14
DD	0.877812218778122	0.999100089991001	0.281228786563708	0.908374438646712	8778	93
ALS	0.64993500649935	0.999100089991001	0.370397535167064	0.882447928703794	6499	8
scz	0.955104489551045	0.999100089991001	0.270350374216687	0.824237475802217	9551	44
epilepsy_ndd	0.762223777622238	0.999100089991001	0.350179567257693	0.811508676171073	7622	7
ASD	0.966003399660034	0.999100089991001	0.266500780135199	0.794666668765704	9660	35
BPwithPsycho	0.806719328067193	0.999100089991001	0.330674688086583	0.787810840709737	8067	8
EPI	0.98970102989701	0.999100089991001	0.123599324001616	0.241722235206575	9897	3
GGE	0.999100089991001	0.999100089991001	0.0492890995260663	0.0963943080190656	9991	3
