pathway	pval	padj	ES	NES	nMoreExtreme	size
adult_high_expressed_genes	0.000106213489113117	0.00189730819399976	0.493281642442707	2.64482365558862	0	1421
epilepsy_dee	0.000325309043591412	0.00195185426154847	0.591441480920667	1.92367766080043	1	27
ASDspe	0.00048433968356474	0.00232483048111075	0.56607313257261	1.90458239480278	2	31
epilepsy_ndd	0.00768459739391915	0.0230537921817574	0.563499385558195	1.7037877672726	45	20
alzheimer	0.0125797001550922	0.0301912803722213	0.671268208975004	1.6701407048399	72	10
scz	0.00592368094778895	0.0203097632495621	0.320960236100036	1.47657510837601	42	186
ASD	0.00910236661531998	0.0242729776408533	0.32316518220547	1.45852728941117	64	159
NDD	0.00023716352424997	0.00189730819399976	0.284852717271079	1.45679695850635	1	553
EPI	0.113178559235234	0.208945032434278	0.521261878914955	1.36491878082346	662	12
DD	0.0139990089197225	0.0305432921884854	0.263225163125718	1.30931992068862	112	390
GGE	0.142080217539089	0.238659217877095	0.487727670162504	1.3091964389336	835	13
prenatal_high_expressed_genes	0.000210194429847609	0.00189730819399976	0.241620374242254	1.29996511050188	1	1579
DEE	0.252154808179821	0.336206410906428	0.414563300451728	1.17996106663983	1491	16
NAFE	0.48907476954592	0.617778656268531	0.37592181289201	0.984347337283843	2864	12
ALS	0.622614040763507	0.747136848916208	0.260854626213521	0.900416590644534	3848	35
BPwithoutPsycho	0.75325856320097	0.860866929372537	0.211088577163998	0.850243841459028	4969	75
BPwithPsycho	0.832455720440402	0.908133513207711	0.213503243881905	0.777724025373004	5216	45
BP1	0.873775843307944	0.911766097364811	0.198313585476385	0.76764511940563	5620	61
MS	0.995575221238938	0.995575221238938	-0.14794356448822	-0.461239749574841	4049	18
DDspe	0.216364160184385	0.30545528496619	-0.269478922214047	-1.14213732786773	750	67
BP	0.174278509386383	0.261417764079574	-0.284375499542405	-1.18714744334641	621	61
BPSchizo	0.149162011173184	0.238659217877095	-0.293147023828596	-1.21350721848268	533	59
BP2	0.0784477945281966	0.156895589056393	-0.317067327698228	-1.31703969724152	280	60
constraint_genes	0.00139082058414465	0.00556328233657858	-0.241856805160081	-1.44121860111028	0	1233
