pathway	pval	padj	ES	NES	nMoreExtreme	size
epilepsy_ndd	0.0064993500649935	0.025997400259974	0.605585209411943	1.55432503719532	64	20
adult_high_expressed_genes	9.99900009999e-05	0.00047995200479952	0.481652945982438	1.52478526132121	0	1421
NAFE	0.0373962603739626	0.0815918408159184	0.605593026539169	1.45695270264834	373	12
epilepsy_dee	0.0258974102589741	0.0686331366863314	0.525522034460417	1.39192954761597	258	27
ASDspe	0.0285971402859714	0.0686331366863314	0.509455534490947	1.36751646161411	285	31
alzheimer	0.112288771122888	0.158525323938194	0.56936585431224	1.33884436635769	1122	10
DEE	0.0994900509949005	0.149235076492351	0.525958309402263	1.31430721672941	994	16
DD	9.99900009999e-05	0.00047995200479952	0.420716165744322	1.30100377568827	0	390
prenatal_high_expressed_genes	9.99900009999e-05	0.00047995200479952	0.403330780583966	1.27815424980159	0	1579
NDD	9.99900009999e-05	0.00047995200479952	0.40850476648338	1.27423930707862	0	553
BPSchizo	0.0460953904609539	0.0921907809219078	0.44256683630912	1.25592414978336	460	59
scz	0.0081991800819918	0.028111474566829	0.408739334501666	1.23431646678875	81	186
BP	0.0654934506549345	0.120910985824494	0.431559619675968	1.22720767714806	654	61
ASD	0.017998200179982	0.053994600539946	0.405960499407468	1.21756674977498	179	159
constraint_genes	9.99900009999e-05	0.00047995200479952	0.38475175390165	1.21592356497166	0	1233
DDspe	0.0723927607239276	0.124101875526733	0.423062439953218	1.21042883826282	723	67
BP2	0.0857914208579142	0.137266273372663	0.424242229577181	1.20511489066587	857	60
BPwithoutPsycho	0.19028097190281	0.25370796253708	0.388903584903629	1.12129965373898	1902	75
EPI	0.328667133286671	0.394400559944006	0.465259523517705	1.11933442182422	3286	12
BPwithPsycho	0.255474452554745	0.322704571648098	0.399960343636691	1.1114169404962	2554	45
BP1	0.653834616538346	0.717746407177464	0.330592225274649	0.94009100565787	6538	61
GGE	0.657934206579342	0.717746407177464	0.368888352217877	0.896755121397368	6579	13
ALS	0.874312568743126	0.912326158688479	0.290482329813113	0.78943670793822	8743	35
MS	0.996800319968003	0.996800319968003	0.162921216554101	0.412734415535041	9968	18
