pathway	pval	padj	ES	NES	nMoreExtreme	size
NAFE	0.0977596741344195	0.335176025603724	0.468276221952954	1.4143713987389	383	14
BP	0.135593220338983	0.359929286977018	0.26447702424908	1.22301537491748	455	73
BP2	0.142940831868776	0.359929286977018	0.268350062657809	1.2179653334466	487	66
BPSchizo	0.149970536240424	0.359929286977018	0.260927969225096	1.20000282625829	508	71
MS	0.32972972972973	0.608731808731809	0.320163184316079	1.09339726024919	1280	21
BPwithoutPsycho	0.360047846889952	0.617224880382775	0.217162978453944	1.04177260507364	1203	86
BP1	0.414569144210838	0.663310630737341	0.222218752121582	1.01905521127711	1399	70
DDspe	0.540167865707434	0.762589928057554	0.202352770326758	0.960370078244385	1801	82
BPwithPsycho	0.777619994319796	0.878754696725711	0.190887457046449	0.82790840876335	2737	53
DEE	0.827400768245839	0.878754696725711	0.226933648017481	0.737984645583333	3230	18
EPI	0.882943694435298	0.882943694435298	-0.240922319776972	-0.689230151627907	5362	14
GGE	0.842139917695473	0.878754696725711	-0.244266322158785	-0.725738086646709	5115	16
epilepsy_dee	0.75858214912981	0.878754696725711	-0.220780398775437	-0.81466582444426	4750	36
epilepsy_ndd	0.705030115578707	0.878754696725711	-0.249937944424171	-0.839517883429511	4330	25
ASDspe	0.691877198592901	0.878754696725711	-0.234211777873223	-0.858373299567415	4326	35
ASD	0.509943977591036	0.762589928057554	-0.198661231477699	-0.980418550645317	3640	178
DD	0.24878231547396	0.497564630947921	-0.196756566895946	-1.07898815259948	1991	469
constraint_genes	0.0458555712885307	0.220106742184947	-0.197044959222403	-1.15678457032024	420	1368
NDD	0.0648468232208845	0.259387292883538	-0.209063390390148	-1.17616962813591	543	647
alzheimer	0.217448559670782	0.474433221099888	-0.408862303397263	-1.2147681397381	1320	16
scz	0.0343543046357616	0.20612582781457	-0.260295673004582	-1.31287672439668	248	207
ALS	0.0164694595458906	0.131755676367125	-0.432591416132946	-1.58542377587678	102	35
prenatal_high_expressed_genes	0.000106439595529537	0.00128054636644969	-0.343683604860818	-2.03426056274774	0	1697
adult_high_expressed_genes	0.00010671219720414	0.00128054636644969	-0.455949306566955	-2.69707907920944	0	1651
