pathway	pval	padj	ES	NES	nMoreExtreme	size
adult_high_expressed_genes	9.99900009999e-05	0.0023997600239976	0.352597881243437	1.22248013000821	0	1651
DEE	0.353564643535646	1	0.402031709286521	1.08651038558844	3535	18
prenatal_high_expressed_genes	0.0347965203479652	0.417558244175582	0.308164563121201	1.06875088456557	347	1697
NAFE	0.406459354064594	1	0.405739457600943	1.06008808678847	4064	14
DDspe	0.391060893910609	1	0.329493185338689	1.03484163943789	3910	82
ASDspe	0.515548445155485	1	0.338170736598405	0.987690226107965	5155	35
scz	0.653834616538346	1	0.291429752290917	0.961785698515822	6538	207
ALS	0.632236776322368	1	0.318907584721397	0.931428625756816	6322	35
BPSchizo	0.6998300169983	1	0.297017265540372	0.923730767926802	6998	71
BPwithoutPsycho	0.710728927107289	1	0.293229393545556	0.923227159276471	7107	86
BP	0.734526547345265	1	0.291660906167362	0.908967640049065	7345	73
constraint_genes	0.991600839916008	1	0.25981635393128	0.898770681592921	9916	1368
BP2	0.766123387661234	1	0.287611962065945	0.889976894010695	7661	66
epilepsy_dee	0.736326367363264	1	0.299750981498243	0.877625416827294	7363	36
DD	0.998500149985001	1	0.237762575819948	0.806324668443421	9985	469
NDD	1	1	0.228262840451595	0.77988914759622	10000	647
EPI	0.801419858014199	1	0.297356893858586	0.776913595162199	8014	14
alzheimer	0.836416358364164	1	0.282411228487989	0.751849673957746	8364	16
ASD	0.996100389961004	1	0.226829475376081	0.743701622490688	9961	178
MS	0.91020897910209	1	0.254027195311633	0.701123324619844	9102	21
BP1	0.99000099990001	1	0.217634794023514	0.67632156443881	9900	70
BPwithPsycho	0.982601739826017	1	0.222488984533382	0.676013902813719	9826	53
epilepsy_ndd	0.959104089591041	1	0.227235543435954	0.640405845130568	9591	25
GGE	0.996300369963004	1	0.148184750339077	0.394505051461448	9963	16
