pathway	pval	padj	ES	NES	nMoreExtreme	size
BP2	0.967413721985426	0.967413721985426	-0.340947975429088	-0.630444249591527	7035	14
BP1	0.779324343917645	0.8132080110445	-0.463209395698847	-0.777660050392774	5374	9
BPwithoutPsycho	0.769377469009672	0.8132080110445	-0.422158313354712	-0.808499259554085	5647	17
BPwithPsycho	0.697807856407239	0.797494693036844	-0.517304170893949	-0.846267721289191	4742	8
DDspe	0.63254113345521	0.759049360146252	-0.447926308168382	-0.900628379364542	4843	22
epilepsy_ndd	0.544492472797734	0.687779965639243	-0.621453126647685	-0.987566556345759	3652	7
constraint_genes	0.337620253164557	0.497866705899662	-0.416210942016822	-1.04935725816599	3333	240
scz	0.348950882212685	0.497866705899662	-0.479048746684556	-1.07050259765366	2926	44
alzheimer	0.394427137417792	0.525902849890389	-0.806332833620904	-1.08475345063917	2278	2
ASD	0.313766425150436	0.497866705899662	-0.505616159625812	-1.09602407088824	2554	35
ALS	0.352655583345594	0.497866705899662	-0.692153588588432	-1.13230720561298	2396	8
EPI	0.315231572080887	0.497866705899662	-0.816799989949717	-1.13424003539271	1932	3
MS	0.268917155903457	0.497866705899662	-0.833075032001761	-1.15684018781713	1648	3
NAFE	0.198511595707857	0.476552598225602	-0.885660138976627	-1.19147187338789	1146	2
prenatal_high_expressed_genes	0.0131183657119968	0.157420388543962	-0.474642125732327	-1.20851630690533	130	387
BP	0.218419940853401	0.476552598225602	-0.678916203443195	-1.21353047265302	1550	12
BPSchizo	0.218419940853401	0.476552598225602	-0.678916203443195	-1.21353047265302	1550	12
GGE	0.142694063926941	0.428082191780822	-0.886255924170616	-1.23068923012617	874	3
DD	0.0617499454505782	0.28542003825217	-0.522995120287507	-1.25966984023148	565	93
DEE	0.129676553882844	0.428082191780822	-0.799337590523533	-1.27024716391614	869	7
NDD	0.0229348056912296	0.183478445529836	-0.532452655992011	-1.30460083795438	215	121
epilepsy_dee	0.0713550095630425	0.28542003825217	-0.811808744386141	-1.3280533482788	484	8
ASDspe	0.0529139961246087	0.28542003825217	-0.845965127709046	-1.34434413817642	354	7
adult_high_expressed_genes	0.0001001001001001	0.0024024024024024	-0.671911111688177	-1.71359112901088	0	452
