pathway	pval	padj	ES	NES	nMoreExtreme	size
NAFE	0.171782821717828	0.414198580141986	0.848704990524321	1.39994039089748	1717	2
GGE	0.145485451454855	0.414198580141986	0.849289099526066	1.31888984128478	1454	3
MS	0.224877512248775	0.414198580141986	0.804007101512029	1.24856989109689	2248	3
ASDspe	0.100589941005899	0.414198580141986	0.788072055896328	1.21118834528801	1005	7
epilepsy_dee	0.103789621037896	0.414198580141986	0.769087225398799	1.1918706076325	1037	8
alzheimer	0.398360163983602	0.562390819741555	0.714734602414334	1.17895599750595	3983	2
epilepsy_ndd	0.164883511648835	0.414198580141986	0.755933776231151	1.16179500685299	1648	7
EPI	0.372662733726627	0.558994100589941	0.734967446505799	1.14135586976501	3726	3
BP1	0.163083691630837	0.414198580141986	0.730875417232661	1.14108664521871	1630	9
DEE	0.221777822217778	0.414198580141986	0.734168340286266	1.12834369723058	2217	7
adult_high_expressed_genes	0.0048995100489951	0.117588241175882	0.598908696668311	1.065086916868	48	452
DDspe	0.246375362463754	0.414198580141986	0.645566141611942	1.0636210507571	2463	22
ASD	0.194580541945805	0.414198580141986	0.631599704243138	1.06354552969739	1945	35
NDD	0.106689331066893	0.414198580141986	0.601689786760117	1.05169717411086	1066	121
DD	0.172782721727827	0.414198580141986	0.600890729772157	1.04432991912767	1727	93
scz	0.258874112588741	0.414198580141986	0.613606845113964	1.04283426784779	2588	44
constraint_genes	0.102189781021898	0.414198580141986	0.588066450325444	1.03961479126303	1021	240
BP	0.456354364563544	0.576447618396055	0.638992249070572	1.01461947912988	4563	12
BPSchizo	0.456354364563544	0.576447618396055	0.638992249070572	1.01461947912988	4563	12
BPwithoutPsycho	0.506549345065493	0.607859214078592	0.616152924752661	1.00036541862783	5065	17
prenatal_high_expressed_genes	0.943305669433057	0.943305669433057	0.540176887211268	0.959259441965005	9433	387
BPwithPsycho	0.73032696730327	0.834659391203737	0.592903451487291	0.918834917099467	7303	8
BP2	0.858514148585142	0.895840850697539	0.54711828406182	0.877662561931403	8585	14
ALS	0.823417658234177	0.895840850697539	0.560508018968178	0.868631035711304	8234	8
