pathway	pval	padj	ES	NES	nMoreExtreme	size	data	type
ALS	0.205780095610604	0.49387222946545	0.955190464923696	1.21598841707875	946	8	gtex	adult specific
alzheimer	0.377331995987964	0.754663991975928	0.801326595072647	1.1909021525061	1880	2	gtex	adult specific
BP	0.703553947648436	0.810514786418401	0.713707053060665	0.905075992667941	3305	12	gtex	adult specific
epilepsy_ndd	0.936669128508124	0.936669128508124	-0.488625214741369	-0.585980501782111	5072	7	gtex	adult specific
EPI	0.742971887550201	0.810514786418401	-0.580755421513715	-0.75445409116969	3884	3	gtex	adult specific
constraint_genes	0.60748367654445	0.8099782353926	-0.489851366992094	-0.921848801531068	2418	240	gtex	adult specific
scz	0.546657986111111	0.8099782353926	-0.615550167542976	-0.938991240564622	2518	44	gtex	adult specific
prenatal_high_expressed_genes	0.457795431976167	0.784792169102	-0.499912762302628	-0.988895647320404	1843	387	gtex	adult specific
adult_high_expressed_genes	0.202452452452452	0.49387222946545	-0.545967124966641	-1.09619879578593	808	452	gtex	adult specific
MS	0.185503920443679	0.49387222946545	-0.95260663507109	-1.23752262394989	969	3	gtex	adult specific
ASD	0.10096256684492	0.49387222946545	-0.898357048062224	-1.30978952113322	471	35	gtex	adult specific
NDD	0.0080207596131163	0.0962491153573956	-0.85499205751192	-1.50647035700773	33	121	gtex	adult specific
BP	0.0592545396623128	0.237018158649251	0.482301912910278	1.49763826984365	185	12	hdbr	prenatal specific
EPI	0.50261780104712	0.716212776787987	0.495102685624013	0.896492569687552	2015	3	hdbr	prenatal specific
MS	0.892726059392726	0.892726059392726	-0.389809377657506	-0.659043513409826	5350	3	hdbr	prenatal specific
scz	0.656528378722321	0.716212776787987	-0.236845198697207	-0.884340179870768	5158	44	hdbr	prenatal specific
ASD	0.640290569464263	0.716212776787987	-0.250297039825211	-0.892427511412406	4935	35	hdbr	prenatal specific
alzheimer	0.63722730471499	0.716212776787987	-0.60330939359032	-0.902058799455983	3621	2	hdbr	prenatal specific
constraint_genes	0.20757687060552	0.41515374121104	-0.241827380551584	-1.12634335480321	1977	240	hdbr	prenatal specific
epilepsy_ndd	0.307076923076923	0.526417582417582	-0.506722342514824	-1.14861232059027	1995	7	hdbr	prenatal specific
NDD	0.0927754094682522	0.278326228404757	-0.28729203532101	-1.25742064488541	826	121	hdbr	prenatal specific
ALS	0.157220379861321	0.377328911667169	-0.548878547825291	-1.30444359819746	1042	8	hdbr	prenatal specific
prenatal_high_expressed_genes	0.000101677681748856	0.000610066090493137	-0.399548775022023	-1.9160142761385	0	387	hdbr	prenatal specific
adult_high_expressed_genes	0.000101276078590237	0.000610066090493137	-0.439369338825781	-2.11929771006837	0	452	hdbr	prenatal specific
epilepsy_ndd	0.544492472797734	0.544492472797734	-0.621453126647685	-0.987566556345759	3652	7	hdbr	shared
constraint_genes	0.337620253164557	0.423186700014712	-0.416210942016822	-1.04935725816599	3333	240	hdbr	shared
scz	0.348950882212685	0.423186700014712	-0.479048746684556	-1.07050259765366	2926	44	hdbr	shared
alzheimer	0.394427137417792	0.430284149910318	-0.806332833620904	-1.08475345063917	2278	2	hdbr	shared
ASD	0.313766425150436	0.423186700014712	-0.505616159625812	-1.09602407088824	2554	35	hdbr	shared
ALS	0.352655583345594	0.423186700014712	-0.692153588588432	-1.13230720561298	2396	8	hdbr	shared
EPI	0.315231572080887	0.423186700014712	-0.816799989949717	-1.13424003539271	1932	3	hdbr	shared
MS	0.268917155903457	0.423186700014712	-0.833075032001761	-1.15684018781713	1648	3	hdbr	shared
prenatal_high_expressed_genes	0.0131183657119968	0.0787101942719808	-0.474642125732327	-1.20851630690533	130	387	hdbr	shared
BP	0.218419940853401	0.423186700014712	-0.678916203443195	-1.21353047265302	1550	12	hdbr	shared
NDD	0.0229348056912296	0.0917392227649182	-0.532452655992011	-1.30460083795438	215	121	hdbr	shared
adult_high_expressed_genes	0.0001001001001001	0.0012012012012012	-0.671911111688177	-1.71359112901088	0	452	hdbr	shared
