pathway	pval	padj	ES	NES	nMoreExtreme	size
ALS	0.205780095610604	0.49387222946545	0.955190464923696	1.21598841707875	946	8
alzheimer	0.377331995987964	0.754663991975928	0.801326595072647	1.1909021525061	1880	2
BP	0.703553947648436	0.810514786418401	0.713707053060665	0.905075992667941	3305	12
epilepsy_ndd	0.936669128508124	0.936669128508124	-0.488625214741369	-0.585980501782111	5072	7
EPI	0.742971887550201	0.810514786418401	-0.580755421513715	-0.75445409116969	3884	3
constraint_genes	0.60748367654445	0.8099782353926	-0.489851366992094	-0.921848801531068	2418	240
scz	0.546657986111111	0.8099782353926	-0.615550167542976	-0.938991240564622	2518	44
prenatal_high_expressed_genes	0.457795431976167	0.784792169102	-0.499912762302628	-0.988895647320404	1843	387
adult_high_expressed_genes	0.202452452452452	0.49387222946545	-0.545967124966641	-1.09619879578593	808	452
MS	0.185503920443679	0.49387222946545	-0.95260663507109	-1.23752262394989	969	3
ASD	0.10096256684492	0.49387222946545	-0.898357048062224	-1.30978952113322	471	35
NDD	0.0080207596131163	0.0962491153573956	-0.85499205751192	-1.50647035700773	33	121
