pathway	pval	padj	ES	NES	nMoreExtreme	size
MS	0.218678132186781	0.813668633136686	0.903633491311216	1.4561817866192	2186	3
EPI	0.268273172682732	0.813668633136686	0.884044233807267	1.42461420942675	2682	3
ALS	0.155284471552845	0.813668633136686	0.940633502898379	1.16166482417338	1552	8
alzheimer	0.508149185081492	0.813668633136686	0.621604548325963	1.13222704179954	5081	2
epilepsy_ndd	0.542445755424458	0.813668633136686	0.845922817246585	1.0714542973745	5424	7
BP	0.471652834716528	0.813668633136686	0.873257287705957	1.02896216324918	4716	12
constraint_genes	0.37996200379962	0.813668633136686	0.844700412615169	1.00482391286319	3799	240
ASD	0.504249575042496	0.813668633136686	0.857047362261383	1.0006756164493	5042	35
prenatal_high_expressed_genes	0.887811218878112	0.94020597940206	0.825383798160321	0.983918309734933	8878	387
scz	0.684731526847315	0.912975369129754	0.838863613661336	0.982156283202412	6847	44
NDD	0.796120387961204	0.94020597940206	0.828728293212865	0.981281667630932	7961	121
adult_high_expressed_genes	0.94020597940206	0.94020597940206	0.8220283480444	0.980392440174826	9402	452
