pathway	pval	padj	ES	NES	nMoreExtreme	size
constraint_genes	0.00687448145075264	0.0164987554818063	0.232272246937725	1.22660243970967	57	1202
BP	0.817554240631164	0.906630467059772	0.209885197933144	0.81328268404288	4973	69
MS	0.976099757533772	0.976099757533772	0.185249752588526	0.552418695929938	5635	21
alzheimer	0.831077928138124	0.906630467059772	-0.264813710690719	-0.721344418370512	3561	13
ALS	0.353823814133591	0.471765085511455	-0.307425753188657	-1.06274984490832	1461	32
scz	0.086460522365656	0.129690783548484	-0.250848220444822	-1.20923314281844	287	189
ASD	0.00990675990675991	0.0198135198135198	-0.298932913945303	-1.41002412994205	33	164
NDD	0.000425170068027211	0.00220913107511046	-0.267324663611928	-1.44611355707081	0	582
prenatal_high_expressed_genes	0.000730994152046784	0.00220913107511046	-0.275962738946118	-1.58882455402723	0	1483
EPI	0.0291647223518432	0.0499966668888741	-0.592955475903115	-1.61519251314178	124	13
adult_high_expressed_genes	0.000736377025036819	0.00220913107511046	-0.333050646503116	-1.919783752217	0	1499
epilepsy_ndd	0.00023696682464455	0.00220913107511046	-0.811540282089538	-2.55723891859849	0	22
