pathway	pval	padj	ES	NES	nMoreExtreme	size
epilepsy_ndd	9.99900009999e-05	0.0001999800019998	0.781301086655996	1.97035785108978	0	22
ASD	9.99900009999e-05	0.0001999800019998	0.49762279274172	1.44427869328089	0	164
adult_high_expressed_genes	9.99900009999e-05	0.0001999800019998	0.467741508584191	1.42533690917889	0	1499
NDD	9.99900009999e-05	0.0001999800019998	0.448767764131155	1.35013767822188	0	582
prenatal_high_expressed_genes	9.99900009999e-05	0.0001999800019998	0.437110926736015	1.33189749584303	0	1483
EPI	0.0976902309769023	0.146535346465353	0.55963947673732	1.33048931308195	976	13
constraint_genes	9.99900009999e-05	0.0001999800019998	0.396532820429234	1.20604302498878	0	1202
ALS	0.19028097190281	0.25370796253708	0.44514901601241	1.16503201316965	1902	32
scz	0.0690930906909309	0.11844529832731	0.388776337497092	1.13465461068182	690	189
BP	0.927007299270073	0.945905409459054	0.287206357471988	0.796429556498419	9270	69
alzheimer	0.902709729027097	0.945905409459054	0.27687719399822	0.65824903882479	9027	13
MS	0.945905409459054	0.945905409459054	0.256443525644516	0.643365133357893	9459	21
