pathway	pval	padj	ES	NES	nMoreExtreme	size
constraint_genes	0.00245901639344262	0.00737704918032787	0.198643868372312	1.20398560906138	2	1321
ALS	0.418390804597701	0.502068965517241	0.280366979916712	1.01663799856395	1819	32
MS	0.57916194790487	0.63181303407804	0.276993192280358	0.911641533401643	2556	22
prenatal_high_expressed_genes	0.644739756367663	0.644739756367663	-0.172773929293362	-0.966297409533296	5821	1651
BP	0.383382401046778	0.502068965517241	-0.252677141868344	-1.04080850486612	2343	74
alzheimer	0.354243542435424	0.502068965517241	-0.373594306679705	-1.07774549396904	1919	16
scz	0.034538506760729	0.069077013521458	-0.274721619590144	-1.31652359025231	234	209
NDD	0.000506008855154965	0.00213485144991994	-0.270177826889737	-1.43796258609401	3	635
ASD	0.00707831325301205	0.0169879518072289	-0.312737097793373	-1.46312202803477	46	175
EPI	0.0563902800964571	0.0966690515939264	-0.530767508648519	-1.48018543653642	303	14
epilepsy_ndd	0.000533712862479986	0.00213485144991994	-0.597196422636947	-1.94897207304514	2	25
adult_high_expressed_genes	0.000110692937790569	0.00132831525348683	-0.411598726037559	-2.30303929591358	0	1664
