pathway	pval	padj	ES	NES	nMoreExtreme	size
epilepsy_ndd	0.006999300069993	0.027997200279972	0.566664295076781	1.50305285717401	69	25
adult_high_expressed_genes	9.99900009999e-05	0.0011998800119988	0.390316893340935	1.25834599768923	0	1664
ASD	0.010998900109989	0.032996700329967	0.400482572512997	1.22622836106935	109	175
scz	0.0177982201779822	0.0427157284271573	0.38540348254151	1.18850347092765	177	209
EPI	0.246475352464754	0.422529175653863	0.474435050210822	1.1727668598559	2464	14
NDD	0.0013998600139986	0.0083991600839916	0.366463323842652	1.16464394813644	13	635
alzheimer	0.382461753824618	0.50994900509949	0.426659498151454	1.07537382800586	3824	16
constraint_genes	0.0903909609039096	0.180781921807819	0.327645611926754	1.05370505752069	903	1321
prenatal_high_expressed_genes	0.381761823817618	0.50994900509949	0.313522086463209	1.01068371320925	3817	1651
ALS	0.61013898610139	0.711965167119652	0.347082188842223	0.944242229868422	6101	32
MS	0.652634736526347	0.711965167119652	0.348653263977021	0.912676292967647	6526	22
BP	0.935906409359064	0.935906409359064	0.271553920611391	0.79240092596871	9359	74
