pathway	pval	padj	ES	NES	nMoreExtreme	size
BP	0.0592545396623128	0.237018158649251	0.482301912910278	1.49763826984365	185	12
EPI	0.50261780104712	0.716212776787987	0.495102685624013	0.896492569687552	2015	3
MS	0.892726059392726	0.892726059392726	-0.389809377657506	-0.659043513409826	5350	3
scz	0.656528378722321	0.716212776787987	-0.236845198697207	-0.884340179870768	5158	44
ASD	0.640290569464263	0.716212776787987	-0.250297039825211	-0.892427511412406	4935	35
alzheimer	0.63722730471499	0.716212776787987	-0.60330939359032	-0.902058799455983	3621	2
constraint_genes	0.20757687060552	0.41515374121104	-0.241827380551584	-1.12634335480321	1977	240
epilepsy_ndd	0.307076923076923	0.526417582417582	-0.506722342514824	-1.14861232059027	1995	7
NDD	0.0927754094682522	0.278326228404757	-0.28729203532101	-1.25742064488541	826	121
ALS	0.157220379861321	0.377328911667169	-0.548878547825291	-1.30444359819746	1042	8
prenatal_high_expressed_genes	0.000101677681748856	0.000610066090493137	-0.399548775022023	-1.9160142761385	0	387
adult_high_expressed_genes	0.000101276078590237	0.000610066090493137	-0.439369338825781	-2.11929771006837	0	452
