pathway	pval	padj	ES	NES	nMoreExtreme	size
prenatal_high_expressed_genes	0.0088991100889911	0.106789321067893	0.326654115102714	1.11487027840415	88	387
BP	0.279172082791721	0.98970102989701	0.430148340794729	1.10512681201339	2791	12
alzheimer	0.398260173982602	0.98970102989701	0.586884883167073	1.09814552332757	3982	2
constraint_genes	0.0786921307869213	0.472152784721528	0.320000005219678	1.07862419591669	786	240
MS	0.433456654334567	0.98970102989701	0.527576822595194	1.03177788253296	4334	3
adult_high_expressed_genes	0.693130686931307	0.98970102989701	0.285468697868649	0.97776758140099	6931	452
NDD	0.776422357764224	0.98970102989701	0.287682718656906	0.943104476185922	7764	121
ALS	0.64993500649935	0.98970102989701	0.370397535167064	0.882447928703794	6499	8
scz	0.955104489551045	0.98970102989701	0.270350374216687	0.824237475802217	9551	44
epilepsy_ndd	0.762223777622238	0.98970102989701	0.350179567257693	0.811508676171073	7622	7
ASD	0.966003399660034	0.98970102989701	0.266500780135199	0.794666668765704	9660	35
EPI	0.98970102989701	0.98970102989701	0.123599324001616	0.241722235206575	9897	3
