pathway	pval	padj	ES	NES	nMoreExtreme	size
adult_high_expressed_genes	0.000106213489113117	0.000948654096999881	0.493281642442707	2.64482365558862	0	1421
epilepsy_ndd	0.00768459739391915	0.0153691947878383	0.563499385558195	1.7037877672726	45	20
alzheimer	0.0125797001550922	0.0188695502326383	0.671268208975004	1.6701407048399	72	10
scz	0.00592368094778895	0.0142168342746935	0.320960236100036	1.47657510837601	42	186
ASD	0.00910236661531998	0.0156040570548343	0.32316518220547	1.45852728941117	64	159
NDD	0.00023716352424997	0.000948654096999881	0.284852717271079	1.45679695850635	1	553
EPI	0.113178559235234	0.150904745646979	0.521261878914955	1.36491878082346	662	12
prenatal_high_expressed_genes	0.000210194429847609	0.000948654096999881	0.241620374242254	1.29996511050188	1	1579
ALS	0.622614040763507	0.679215317196553	0.260854626213521	0.900416590644534	3848	35
MS	0.995575221238938	0.995575221238938	-0.14794356448822	-0.461239749574841	4049	18
BP	0.174278509386383	0.209134211263659	-0.284375499542405	-1.18714744334641	621	61
constraint_genes	0.00139082058414465	0.00417246175243394	-0.241856805160081	-1.44121860111028	0	1233
