pathway	pval	padj	ES	NES	nMoreExtreme	size
epilepsy_ndd	0.0064993500649935	0.0155984401559844	0.605585209411943	1.55432503719532	64	20
adult_high_expressed_genes	9.99900009999e-05	0.0002999700029997	0.481652945982438	1.52478526132121	0	1421
alzheimer	0.112288771122888	0.149718361497184	0.56936585431224	1.33884436635769	1122	10
prenatal_high_expressed_genes	9.99900009999e-05	0.0002999700029997	0.403330780583966	1.27815424980159	0	1579
NDD	9.99900009999e-05	0.0002999700029997	0.40850476648338	1.27423930707862	0	553
scz	0.0081991800819918	0.0163983601639836	0.408739334501666	1.23431646678875	81	186
BP	0.0654934506549345	0.0982401759824018	0.431559619675968	1.22720767714806	654	61
ASD	0.017998200179982	0.0308540574513977	0.405960499407468	1.21756674977498	179	159
constraint_genes	9.99900009999e-05	0.0002999700029997	0.38475175390165	1.21592356497166	0	1233
EPI	0.328667133286671	0.394400559944006	0.465259523517705	1.11933442182422	3286	12
ALS	0.874312568743126	0.953795529537955	0.290482329813113	0.78943670793822	8743	35
MS	0.996800319968003	0.996800319968003	0.162921216554101	0.412734415535041	9968	18
