pathway	pval	padj	ES	NES	nMoreExtreme	size
BP	0.135593220338983	0.232445520581114	0.26447702424908	1.22301537491748	455	73
MS	0.32972972972973	0.43963963963964	0.320163184316079	1.09339726024919	1280	21
EPI	0.882943694435298	0.882943694435298	-0.240922319776972	-0.689230151627907	5362	14
epilepsy_ndd	0.705030115578707	0.769123762449499	-0.249937944424171	-0.839517883429511	4330	25
ASD	0.509943977591036	0.611932773109244	-0.198661231477699	-0.980418550645317	3640	178
constraint_genes	0.0458555712885307	0.110053371092474	-0.197044959222403	-1.15678457032024	420	1368
NDD	0.0648468232208845	0.129693646441769	-0.209063390390148	-1.17616962813591	543	647
alzheimer	0.217448559670782	0.326172839506173	-0.408862303397263	-1.2147681397381	1320	16
scz	0.0343543046357616	0.103062913907285	-0.260295673004582	-1.31287672439668	248	207
ALS	0.0164694595458906	0.0658778381835625	-0.432591416132946	-1.58542377587678	102	35
prenatal_high_expressed_genes	0.000106439595529537	0.000640273183224843	-0.343683604860818	-2.03426056274774	0	1697
adult_high_expressed_genes	0.00010671219720414	0.000640273183224843	-0.455949306566955	-2.69707907920944	0	1651
