pathway	pval	padj	ES	NES	nMoreExtreme	size
adult_high_expressed_genes	9.99900009999e-05	0.0011998800119988	0.352597881243437	1.22248013000821	0	1651
prenatal_high_expressed_genes	0.0347965203479652	0.208779122087791	0.308164563121201	1.06875088456557	347	1697
scz	0.653834616538346	1	0.291429752290917	0.961785698515822	6538	207
ALS	0.632236776322368	1	0.318907584721397	0.931428625756816	6322	35
BP	0.734526547345265	1	0.291660906167362	0.908967640049065	7345	73
constraint_genes	0.991600839916008	1	0.25981635393128	0.898770681592921	9916	1368
NDD	1	1	0.228262840451595	0.77988914759622	10000	647
EPI	0.801419858014199	1	0.297356893858586	0.776913595162199	8014	14
alzheimer	0.836416358364164	1	0.282411228487989	0.751849673957746	8364	16
ASD	0.996100389961004	1	0.226829475376081	0.743701622490688	9961	178
MS	0.91020897910209	1	0.254027195311633	0.701123324619844	9102	21
epilepsy_ndd	0.959104089591041	1	0.227235543435954	0.640405845130568	9591	25
