pathway	pval	padj	ES	NES	nMoreExtreme	size
epilepsy_ndd	0.544492472797734	0.544492472797734	-0.621453126647685	-0.987566556345759	3652	7
constraint_genes	0.337620253164557	0.423186700014712	-0.416210942016822	-1.04935725816599	3333	240
scz	0.348950882212685	0.423186700014712	-0.479048746684556	-1.07050259765366	2926	44
alzheimer	0.394427137417792	0.430284149910318	-0.806332833620904	-1.08475345063917	2278	2
ASD	0.313766425150436	0.423186700014712	-0.505616159625812	-1.09602407088824	2554	35
ALS	0.352655583345594	0.423186700014712	-0.692153588588432	-1.13230720561298	2396	8
EPI	0.315231572080887	0.423186700014712	-0.816799989949717	-1.13424003539271	1932	3
MS	0.268917155903457	0.423186700014712	-0.833075032001761	-1.15684018781713	1648	3
prenatal_high_expressed_genes	0.0131183657119968	0.0787101942719808	-0.474642125732327	-1.20851630690533	130	387
BP	0.218419940853401	0.423186700014712	-0.678916203443195	-1.21353047265302	1550	12
NDD	0.0229348056912296	0.0917392227649182	-0.532452655992011	-1.30460083795438	215	121
adult_high_expressed_genes	0.0001001001001001	0.0012012012012012	-0.671911111688177	-1.71359112901088	0	452
