pathway	pval	padj	ES	NES	nMoreExtreme	size
MS	0.224877512248775	0.44378419300927	0.804007101512029	1.24856989109689	2248	3
alzheimer	0.398360163983602	0.531146885311469	0.714734602414334	1.17895599750595	3983	2
epilepsy_ndd	0.164883511648835	0.44378419300927	0.755933776231151	1.16179500685299	1648	7
EPI	0.372662733726627	0.531146885311469	0.734967446505799	1.14135586976501	3726	3
adult_high_expressed_genes	0.0048995100489951	0.0587941205879412	0.598908696668311	1.065086916868	48	452
ASD	0.194580541945805	0.44378419300927	0.631599704243138	1.06354552969739	1945	35
NDD	0.106689331066893	0.426757324267573	0.601689786760117	1.05169717411086	1066	121
scz	0.258874112588741	0.44378419300927	0.613606845113964	1.04283426784779	2588	44
constraint_genes	0.102189781021898	0.426757324267573	0.588066450325444	1.03961479126303	1021	240
BP	0.456354364563544	0.547625237476252	0.638992249070572	1.01461947912988	4563	12
prenatal_high_expressed_genes	0.943305669433057	0.943305669433057	0.540176887211268	0.959259441965005	9433	387
ALS	0.823417658234177	0.898273808982738	0.560508018968178	0.868631035711304	8234	8
