VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
hdbr_sexDE                            AD    2914   -0.0028219  -0.00090573     0.019458      0.55765 hdbr_sexDE
hdbr_sexDE_femaleBiased               AD    1185    -0.029711   -0.0063148     0.028337      0.85279 hdbr_sexDE_femaleBiased
hdbr_sexDE_maleBiased                 AD    1729      0.01904    0.0048321     0.025385      0.22662 hdbr_sexDE_maleBiased
hdbr_pseudotimeDE                     AD   12238     0.024579     0.012287     0.013047     0.029803 hdbr_pseudotimeDE
hdbr_pseudotimeDE_upRegulated         AD    7102      0.03896     0.017573     0.014655     0.003929 hdbr_pseudotimeDE_upRegulated
hdbr_pseudotimeDE_downRegula...       AD    5136   -0.0088408   -0.0035726     0.015464      0.71624 hdbr_pseudotimeDE_downRegulated
gtex_sexDE                            AD     934     0.016852    0.0031967     0.033583       0.3079 gtex_sexDE
gtex_sexDE_femaleBiased               AD     307     0.012886    0.0014196     0.055438       0.4081 gtex_sexDE_femaleBiased
gtex_sexDE_maleBiased                 AD     627     0.018665    0.0029194      0.04167       0.3271 gtex_sexDE_maleBiased
gtex_pseudotimeDE                     AD    4306     0.032644     0.012329     0.016655     0.025009 gtex_pseudotimeDE
gtex_pseudotimeDE_upRegulated         AD    2594     0.027616    0.0084234     0.021032     0.094599 gtex_pseudotimeDE_upRegulated
gtex_pseudotimeDE_downRegula...       AD    1712     0.033596    0.0084872     0.024663     0.086577 gtex_pseudotimeDE_downRegulated
shared                                AD     642    0.0066906    0.0010586     0.040165      0.43385 shared
shared_femaleBiased                   AD     175     0.016429    0.0013701     0.069201      0.40617 shared_femaleBiased
shared_maleBiased                     AD     467    0.0017111   0.00023172     0.048862      0.48603 shared_maleBiased
prenatal_specific                     AD    1828     0.038113    0.0099245     0.023992     0.056086 prenatal_specific
prenatal_specific_femaleBias...       AD     772     0.068095     0.011783     0.035259     0.026733 prenatal_specific_femaleBiased
prenatal_specific_maleBiased          AD    1056     0.011446    0.0023028     0.031627      0.35872 prenatal_specific_maleBiased
