Comparison	Trait	Ngenes	Beta	Beta_std	SE	pval	Data	Analysis	Direction	padj
hdbr_sexDE_femaleBiased	Alzheimer	1185	-0.029711	-0.0063148	0.028337	0.85279	Prenatal	sexDE	femaleBiased	0.87733
hdbr_sexDE_maleBiased	Alzheimer	1729	0.01904	0.0048321	0.025385	0.22662	Prenatal	sexDE	maleBiased	0.7554
hdbr_pseudotimeDE_upRegulated	Alzheimer	7102	0.03896	0.017573	0.014655	0.003929	Prenatal	pseudotimeDE	upRegulated	0.0107154545454545
hdbr_pseudotimeDE_downRegulated	Alzheimer	5136	-0.0088408	-0.0035726	0.015464	0.71624	Prenatal	pseudotimeDE	downRegulated	0.7674
gtex_sexDE_femaleBiased	Alzheimer	307	0.012886	0.0014196	0.055438	0.4081	Adult	sexDE	femaleBiased	0.6546
gtex_sexDE_maleBiased	Alzheimer	627	0.018665	0.0029194	0.04167	0.3271	Adult	sexDE	maleBiased	0.64059375
gtex_pseudotimeDE_upRegulated	Alzheimer	2594	0.027616	0.0084234	0.021032	0.094599	Adult	pseudotimeDE	upRegulated	0.202712142857143
gtex_pseudotimeDE_downRegulated	Alzheimer	1712	0.033596	0.0084872	0.024663	0.086577	Adult	pseudotimeDE	downRegulated	0.199793076923077
hdbr_sexDE_femaleBiased	ADHD	1181	-0.023463	-0.0049877	0.029518	0.78666	Prenatal	sexDE	femaleBiased	0.87733
hdbr_sexDE_maleBiased	ADHD	1725	-0.0061887	-0.0015716	0.026338	0.59288	Prenatal	sexDE	maleBiased	0.87733
hdbr_pseudotimeDE_upRegulated	ADHD	7085	-0.0033603	-0.0015162	0.015214	0.5874	Prenatal	pseudotimeDE	upRegulated	0.70488
hdbr_pseudotimeDE_downRegulated	ADHD	5127	-0.014044	-0.0056792	0.016032	0.80947	Prenatal	pseudotimeDE	downRegulated	0.83738275862069
gtex_sexDE_femaleBiased	ADHD	307	0.0020654	0.00022794	0.057198	0.4856	Adult	sexDE	femaleBiased	0.662181818181818
gtex_sexDE_maleBiased	ADHD	625	-0.0031432	-0.00049174	0.043034	0.52911	Adult	sexDE	maleBiased	0.69014347826087
gtex_pseudotimeDE_upRegulated	ADHD	2587	0.012617	0.0038501	0.021699	0.28047	Adult	pseudotimeDE	upRegulated	0.401871428571429
gtex_pseudotimeDE_downRegulated	ADHD	1710	-0.033465	-0.0084642	0.025568	0.90471	Adult	pseudotimeDE	downRegulated	0.935906896551724
hdbr_sexDE_femaleBiased	Anorexia	1179	-0.015541	-0.0033056	0.029679	0.69974	Prenatal	sexDE	femaleBiased	0.87733
hdbr_sexDE_maleBiased	Anorexia	1726	0.021581	0.0054893	0.026059	0.20379	Prenatal	sexDE	maleBiased	0.7554
hdbr_pseudotimeDE_upRegulated	Anorexia	7076	0.010481	0.0047318	0.01503	0.24279	Prenatal	pseudotimeDE	upRegulated	0.383352631578947
hdbr_pseudotimeDE_downRegulated	Anorexia	5120	0.016468	0.0066635	0.015864	0.14962	Prenatal	pseudotimeDE	downRegulated	0.2805375
gtex_sexDE_femaleBiased	Anorexia	307	-0.030349	-0.0033542	0.056693	0.70378	Adult	sexDE	femaleBiased	0.776271428571429
gtex_sexDE_maleBiased	Anorexia	625	-0.007885	-0.0012353	0.042952	0.57283	Adult	sexDE	maleBiased	0.7160375
gtex_pseudotimeDE_upRegulated	Anorexia	2589	0.011602	0.0035462	0.021561	0.29525	Adult	pseudotimeDE	upRegulated	0.402613636363636
gtex_pseudotimeDE_downRegulated	Anorexia	1707	-0.00056542	-0.00014308	0.025478	0.50885	Adult	pseudotimeDE	downRegulated	0.61062
