Analysis	Direction	Trait	Ngenes	Beta	Beta_std	SE	pval
hdbr	femaleBiased	AD	1185	-0.029711	-0.0063148	0.028337	0.85279
hdbr	maleBiased	AD	1729	0.01904	0.0048321	0.025385	0.22662
gtex	femaleBiased	AD	307	0.012886	0.0014196	0.055438	0.4081
gtex	maleBiased	AD	627	0.018665	0.0029194	0.04167	0.3271
shared	femaleBiased	AD	175	0.016429	0.0013701	0.069201	0.40617
shared	maleBiased	AD	467	0.0017111	0.00023172	0.048862	0.48603
prenatal_specific	femaleBiased	AD	772	0.068095	0.011783	0.035259	0.026733
prenatal_specific	maleBiased	AD	1056	0.011446	0.0023028	0.031627	0.35872
hdbr	femaleBiased	ADHD	1181	-0.023463	-0.0049877	0.029518	0.78666
hdbr	maleBiased	ADHD	1725	-0.0061887	-0.0015716	0.026338	0.59288
gtex	femaleBiased	ADHD	307	0.0020654	0.00022794	0.057198	0.4856
gtex	maleBiased	ADHD	625	-0.0031432	-0.00049174	0.043034	0.52911
shared	femaleBiased	ADHD	175	-0.026117	-0.002182	0.074917	0.63631
shared	maleBiased	ADHD	465	-0.013012	-0.0017617	0.050355	0.60195
prenatal_specific	femaleBiased	ADHD	771	-0.055864	-0.0096778	0.036444	0.93734
prenatal_specific	maleBiased	ADHD	1052	-0.0020304	-0.00040848	0.032801	0.52468
hdbr	femaleBiased	AN	1179	-0.015541	-0.0033056	0.029679	0.69974
hdbr	maleBiased	AN	1726	0.021581	0.0054893	0.026059	0.20379
gtex	femaleBiased	AN	307	-0.030349	-0.0033542	0.056693	0.70378
gtex	maleBiased	AN	625	-0.007885	-0.0012353	0.042952	0.57283
shared	femaleBiased	AN	175	-0.026981	-0.0022575	0.072073	0.64593
shared	maleBiased	AN	465	-0.036668	-0.0049714	0.050195	0.76745
prenatal_specific	femaleBiased	AN	772	0.022738	0.0039471	0.036561	0.267
prenatal_specific	maleBiased	AN	1053	0.036156	0.0072871	0.032389	0.13216
hdbr	femaleBiased	ASD	1182	-0.03205	-0.0068084	0.02886	0.86661
hdbr	maleBiased	ASD	1728	-0.016878	-0.004285	0.025811	0.74342
gtex	femaleBiased	ASD	307	-0.033498	-0.0036926	0.056173	0.72452
gtex	maleBiased	ASD	627	0.038061	0.005957	0.042555	0.18556
shared	femaleBiased	ASD	175	-0.097314	-0.0081209	0.0713	0.91384
shared	maleBiased	ASD	467	0.077512	0.010504	0.049885	0.060125
prenatal_specific	femaleBiased	ASD	772	-0.0039768	-0.00068858	0.035631	0.54443
prenatal_specific	maleBiased	ASD	1053	-0.070089	-0.014091	0.032056	0.9856
hdbr	femaleBiased	BD	1186	0.017499	0.0037205	0.032453	0.29488
hdbr	maleBiased	BD	1729	0.037606	0.0095429	0.02898	0.097216
gtex	femaleBiased	BD	307	-0.021735	-0.0023941	0.062897	0.63516
gtex	maleBiased	BD	627	0.11585	0.018117	0.048056	0.0079685
shared	femaleBiased	BD	175	-0.022539	-0.0018794	0.079521	0.61157
shared	maleBiased	BD	467	0.11677	0.015812	0.056145	0.018783
prenatal_specific	femaleBiased	BD	772	0.022374	0.0038711	0.040493	0.2903
prenatal_specific	maleBiased	BD	1056	0.046133	0.0092805	0.036053	0.10036
hdbr	femaleBiased	Epilepsy	1163	-0.026699	-0.0056915	0.028424	0.82621
hdbr	maleBiased	Epilepsy	1706	-0.018406	-0.0046962	0.025303	0.76651
gtex	femaleBiased	Epilepsy	304	0.030086	0.0033391	0.0528	0.28441
gtex	maleBiased	Epilepsy	612	0.066595	0.01042	0.041727	0.055261
shared	femaleBiased	Epilepsy	173	-0.0091191	-0.00076557	0.067345	0.55385
shared	maleBiased	Epilepsy	457	0.080091	0.010864	0.047805	0.046942
prenatal_specific	femaleBiased	Epilepsy	764	-0.060249	-0.010499	0.035185	0.95657
prenatal_specific	maleBiased	Epilepsy	1043	0.020618	0.004173	0.031754	0.25807
hdbr	femaleBiased	MDD	1185	0.0058712	0.0012477	0.028144	0.41738
hdbr	maleBiased	MDD	1727	-0.012002	-0.0030441	0.025103	0.68372
gtex	femaleBiased	MDD	307	0.046167	0.0050852	0.054718	0.19942
gtex	maleBiased	MDD	627	0.02205	0.0034484	0.041562	0.29788
shared	femaleBiased	MDD	175	-0.087419	-0.0072893	0.068488	0.89908
shared	maleBiased	MDD	467	0.0083108	0.0011254	0.048732	0.43229
prenatal_specific	femaleBiased	MDD	772	-0.016442	-0.0028448	0.035003	0.68073
prenatal_specific	maleBiased	MDD	1054	0.0017904	0.00035983	0.031214	0.47713
hdbr	femaleBiased	SCZ	1173	-0.0082101	-0.0017521	0.034965	0.59282
hdbr	maleBiased	SCZ	1713	0.024841	0.006332	0.03088	0.21057
gtex	femaleBiased	SCZ	305	0.052721	0.005843	0.06743	0.21715
gtex	maleBiased	SCZ	618	0.11318	0.017739	0.05121	0.013556
