Comparison	Trait	Ngenes	Beta	Beta_std	SE	pval	Analysis	Direction	padj
shared_femaleBiased	Alzheimer	175	0.016429	0.0013701	0.069201	0.40617	shared	femaleBiased	0.8577
shared_maleBiased	Alzheimer	467	0.0017111	0.00023172	0.048862	0.48603	shared	maleBiased	0.8577
prenatal_specific_femaleBiased	Alzheimer	772	0.068095	0.011783	0.035259	0.026733	prenatal_specific	femaleBiased	0.26733
prenatal_specific_maleBiased	Alzheimer	1056	0.011446	0.0023028	0.031627	0.35872	prenatal_specific	maleBiased	0.57435
shared_femaleBiased	ADHD	175	-0.026117	-0.002182	0.074917	0.63631	shared	femaleBiased	0.880813636363636
shared_maleBiased	ADHD	465	-0.013012	-0.0017617	0.050355	0.60195	shared	maleBiased	0.880813636363636
prenatal_specific_femaleBiased	ADHD	771	-0.055864	-0.0096778	0.036444	0.93734	prenatal_specific	femaleBiased	0.9856
prenatal_specific_maleBiased	ADHD	1052	-0.0020304	-0.00040848	0.032801	0.52468	prenatal_specific	maleBiased	0.658452
shared_femaleBiased	Anorexia	175	-0.026981	-0.0022575	0.072073	0.64593	shared	femaleBiased	0.880813636363636
shared_maleBiased	Anorexia	465	-0.036668	-0.0049714	0.050195	0.76745	shared	maleBiased	0.945351724137931
prenatal_specific_femaleBiased	Anorexia	772	0.022738	0.0039471	0.036561	0.267	prenatal_specific	femaleBiased	0.57435
prenatal_specific_maleBiased	Anorexia	1053	0.036156	0.0072871	0.032389	0.13216	prenatal_specific	maleBiased	0.4956
shared_femaleBiased	Autism	175	-0.097314	-0.0081209	0.0713	0.91384	shared	femaleBiased	0.945351724137931
shared_maleBiased	Autism	467	0.077512	0.010504	0.049885	0.060125	shared	maleBiased	0.36075
prenatal_specific_femaleBiased	Autism	772	-0.0039768	-0.00068858	0.035631	0.54443	prenatal_specific	femaleBiased	0.658452
prenatal_specific_maleBiased	Autism	1053	-0.070089	-0.014091	0.032056	0.9856	prenatal_specific	maleBiased	0.9856
shared_femaleBiased	Bipolar	175	-0.022539	-0.0018794	0.079521	0.61157	shared	femaleBiased	0.880813636363636
shared_maleBiased	Bipolar	467	0.11677	0.015812	0.056145	0.018783	shared	maleBiased	0.18783
prenatal_specific_femaleBiased	Bipolar	772	0.022374	0.0038711	0.040493	0.2903	prenatal_specific	femaleBiased	0.57435
prenatal_specific_maleBiased	Bipolar	1056	0.046133	0.0092805	0.036053	0.10036	prenatal_specific	maleBiased	0.4956
shared_femaleBiased	Brain morphology all	175	0.028755	0.0024011	0.090055	0.37475	shared	femaleBiased	0.8577
shared_maleBiased	Brain morphology all	462	-0.055295	-0.0074583	0.062655	0.81125	shared	maleBiased	0.945351724137931
prenatal_specific_femaleBiased	Brain morphology all	772	0.051871	0.0089868	0.044899	0.124	prenatal_specific	femaleBiased	0.4956
prenatal_specific_maleBiased	Brain morphology all	1054	0.025218	0.0050751	0.040136	0.2649	prenatal_specific	maleBiased	0.57435
