pathway	pval	padj	ES	NES	nMoreExtreme	size	data	type
Schizophrenia.MetaBrain	0.000221877080097626	0.00177501664078101	0.261176179244595	1.32144756340484	1	1985	gtex	pseudotimeDE
MS.MetaBrainCerebellum	0.00719249055223699	0.0191799748059653	0.242850738489966	1.225972684861	58	983	gtex	pseudotimeDE
Schizophrenia.MetaBrainCerebellum	0.0109666937449228	0.0219333874898457	0.21211434095753	1.11455179243448	107	4820	gtex	pseudotimeDE
ALS.MetaBrainCortex	0.357193605683837	0.40822126363867	0.342373003902543	1.07010234387272	2010	28	gtex	pseudotimeDE
Schizophrenia.MetaBrainCortex	0.53097440309744	0.53097440309744	0.193097502021936	0.991741773633988	4936	2487	gtex	pseudotimeDE
MS.MetaBrain	0.112933994658527	0.180694391453644	-0.214033379263377	-1.10222460433996	295	593	gtex	pseudotimeDE
ALS.MetaBrainCerebellum	0.307073954983923	0.40822126363867	-0.455990534948466	-1.12904146524446	1336	11	gtex	pseudotimeDE
MS.MetaBrainCortex	0.00051975051975052	0.00207900207900208	-0.341804003999243	-1.84254481198986	0	959	gtex	pseudotimeDE
Schizophrenia.MetaBrain	0.103250478011472	0.118000546298825	0.17360948462113	1.05228269707585	161	2203	gtex	sexDE
ALS.MetaBrainCortex	0.630661114003123	0.630661114003123	0.249347974205471	0.893169802727178	2422	31	gtex	sexDE
Schizophrenia.MetaBrainCerebellum	0.0556128765992571	0.0889806025588114	-0.186674993154994	-1.08008574615938	538	5355	gtex	sexDE
Schizophrenia.MetaBrainCortex	0.0739356884057971	0.0985809178743961	-0.189946787831275	-1.09166121700444	652	2779	gtex	sexDE
MS.MetaBrainCerebellum	0.000421762969211303	0.00168705187684521	-0.240233958208754	-1.35355108801447	2	1106	gtex	sexDE
MS.MetaBrain	0.00207268205057344	0.00540644912145202	-0.253889741280787	-1.35602369431213	14	656	gtex	sexDE
ALS.MetaBrainCerebellum	0.00270322456072601	0.00540644912145202	-0.704899567830652	-1.87742336738587	13	12	gtex	sexDE
MS.MetaBrainCortex	0.000125976316452507	0.00100781053162006	-0.371691436698579	-2.05475440603522	0	1065	gtex	sexDE
MS.MetaBrainCortex	0.000116686114352392	0.000322372662798195	0.424106567980295	2.18945718758963	0	860	hdbr	pseudotimeDE
MS.MetaBrainCerebellum	0.000120889748549323	0.000322372662798195	0.31603680304722	1.65635654005694	0	950	hdbr	pseudotimeDE
ALS.MetaBrainCerebellum	0.0212065813528336	0.0339305301645338	0.690194933893629	1.58744442157203	115	8	hdbr	pseudotimeDE
MS.MetaBrain	0.00100012501562695	0.00200025003125391	0.277166075909848	1.38077568498036	7	557	hdbr	pseudotimeDE
Schizophrenia.MetaBrainCerebellum	0.000101235067827495	0.000322372662798195	0.220199313014867	1.19072299255306	0	4737	hdbr	pseudotimeDE
ALS.MetaBrainCortex	0.407847983933261	0.471753598514162	0.322005660529808	1.03498657491781	2639	30	hdbr	pseudotimeDE
Schizophrenia.MetaBrainCortex	0.412784398699892	0.471753598514162	0.187208732787153	1.01075346036475	3809	2507	hdbr	pseudotimeDE
Schizophrenia.MetaBrain	0.929711335367285	0.929711335367285	0.170378416902547	0.915437342875157	7922	2024	hdbr	pseudotimeDE
Schizophrenia.MetaBrain	1	1	-0.119317464636106	-0.640424440743379	10000	2216	hdbr	sexDE
Schizophrenia.MetaBrainCortex	1	1	-0.130083205599174	-0.698645513368234	10000	2766	hdbr	sexDE
ALS.MetaBrainCortex	0.480910041841004	0.641213389121339	-0.302927566258688	-0.990002578792068	3677	31	hdbr	sexDE
MS.MetaBrainCerebellum	0.425035218353794	0.641213389121339	-0.189630834270944	-1.01748139472951	4223	1077	hdbr	sexDE
Schizophrenia.MetaBrainCerebellum	0.0371962803719628	0.148785121487851	-0.20363808290182	-1.08651186528337	371	5261	hdbr	sexDE
MS.MetaBrain	0.0715810879511947	0.190882901203186	-0.227457486821837	-1.17342217248755	703	646	hdbr	sexDE
ALS.MetaBrainCerebellum	0.263268052025714	0.526536104051428	-0.439908514236704	-1.17881932426547	1760	12	hdbr	sexDE
MS.MetaBrainCortex	0.00010048231511254	0.000803858520900322	-0.275646385811673	-1.45585861161695	0	1042	hdbr	sexDE
