pathway	pval	padj	ES	NES	nMoreExtreme	size	data	type
Schizophrenia.MetaBrain	0.000136425648021828	0.00109140518417462	0.261176179244595	1.33345734692313	0	1985	gtex	pseudotimeDE
MS.MetaBrainCerebellum	0.00572951365756163	0.0114590273151233	0.242850738489966	1.22994687391033	42	983	gtex	pseudotimeDE
Schizophrenia.MetaBrainCerebellum	0.0034058448692595	0.00908225298469201	0.21211434095753	1.13776648876086	30	4820	gtex	pseudotimeDE
ALS.MetaBrainCortex	0.375253924284395	0.428861627753594	0.342373003902543	1.05316895562832	2031	28	gtex	pseudotimeDE
Schizophrenia.MetaBrainCortex	0.53346787756475	0.53346787756475	0.193097502021936	0.991011114295874	4757	2487	gtex	pseudotimeDE
ALS.MetaBrainCerebellum	0.338482867894633	0.428861627753594	-0.455990534948466	-1.09395868259786	1708	11	gtex	pseudotimeDE
MS.MetaBrain	0.092560553633218	0.148096885813149	-0.214033379263377	-1.10493001142933	213	593	gtex	pseudotimeDE
MS.MetaBrainCortex	0.00040551500405515	0.0016220600162206	-0.341804003999243	-1.81581783745873	0	959	gtex	pseudotimeDE
Schizophrenia.MetaBrain	0.5	0.790370085798438	0.17360948462113	1.00691861299004	0	2203	gtex	sexDE
ALS.MetaBrainCortex	0.592777564348828	0.790370085798438	0.249347974205471	0.931523706837941	1542	31	gtex	sexDE
Schizophrenia.MetaBrainCortex	0.806919308069193	0.809519048095191	-0.189946787831275	-0.948571436369396	8069	2779	gtex	sexDE
Schizophrenia.MetaBrainCerebellum	0.809519048095191	0.809519048095191	-0.186674993154994	-0.960022118699349	8095	5355	gtex	sexDE
MS.MetaBrainCerebellum	0.0101071975497703	0.0206580768821212	-0.240233958208754	-1.21782787670856	98	1106	gtex	sexDE
MS.MetaBrain	0.0103290384410606	0.0206580768821212	-0.253889741280787	-1.26737017353267	96	656	gtex	sexDE
ALS.MetaBrainCerebellum	0.00437509114773224	0.017500364590929	-0.704899567830652	-1.74599232382925	29	12	gtex	sexDE
MS.MetaBrainCortex	0.000102165917449939	0.00081732733959951	-0.371691436698579	-1.88097752691227	0	1065	gtex	sexDE
MS.MetaBrainCortex	0.000116427989288625	0.0004657119571545	0.424106567980295	2.26709677603837	0	860	hdbr	pseudotimeDE
MS.MetaBrainCerebellum	0.000115114538966271	0.0004657119571545	0.31603680304722	1.67652923516474	0	950	hdbr	pseudotimeDE
ALS.MetaBrainCerebellum	0.020891364902507	0.0334261838440111	0.690194933893629	1.60082736096732	119	8	hdbr	pseudotimeDE
MS.MetaBrain	0.000887874175545408	0.00177574835109082	0.277166075909848	1.41340019149492	6	557	hdbr	pseudotimeDE
Schizophrenia.MetaBrainCerebellum	0.000200682319887618	0.000535152853033648	0.220199313014867	1.17909920728416	1	4737	hdbr	pseudotimeDE
ALS.MetaBrainCortex	0.394671403197158	0.526228537596211	0.322005660529808	1.03805377744034	2221	30	hdbr	pseudotimeDE
Schizophrenia.MetaBrainCortex	0.626494940202392	0.715994217374162	0.187208732787153	0.977904968679201	6128	2507	hdbr	pseudotimeDE
Schizophrenia.MetaBrain	0.973754908038851	0.973754908038851	0.170378416902547	0.878940138755861	9423	2024	hdbr	pseudotimeDE
Schizophrenia.MetaBrain	1	1	-0.119317464636106	-0.548164021346121	10000	2216	hdbr	sexDE
Schizophrenia.MetaBrainCortex	1	1	-0.130083205599174	-0.614165451225091	10000	2766	hdbr	sexDE
ALS.MetaBrainCortex	0.500822680673332	0.66776357423111	-0.302927566258688	-0.979961772240333	3956	31	hdbr	sexDE
MS.MetaBrainCerebellum	0.495163240628779	0.66776357423111	-0.189630834270944	-1.00037271713543	4913	1077	hdbr	sexDE
Schizophrenia.MetaBrainCerebellum	0.369063093690631	0.66776357423111	-0.20363808290182	-1.01481741982647	3690	5261	hdbr	sexDE
MS.MetaBrain	0.111381618989653	0.445526475958612	-0.227457486821837	-1.14143518656627	1097	646	hdbr	sexDE
ALS.MetaBrainCerebellum	0.269027882441598	0.66776357423111	-0.439908514236704	-1.17196573602979	1784	12	hdbr	sexDE
MS.MetaBrainCortex	0.000101440454453236	0.000811523635625888	-0.275646385811673	-1.4917875001334	0	1042	hdbr	sexDE
