pathway	pval	padj	ES	NES	nMoreExtreme	size	data	type
Schizophrenia.MetaBrainCerebellum	0.319047619047619	0.638095238095238	0.486606343840111	1.03252188984007	1942	983	gtex	adult specific
MS.MetaBrain	0.39970143683523	0.639522298936369	0.584510714989722	1.02229896713039	2141	91	gtex	adult specific
Schizophrenia.MetaBrain	0.972427831236121	0.972427831236121	0.420539726929475	0.841278369334787	5254	338	gtex	adult specific
MS.MetaBrainCortex	0.788253825382538	0.900861514722901	-0.454888792945611	-0.84866903719823	3502	186	gtex	adult specific
MS.MetaBrainCerebellum	0.558191584601611	0.744255446135482	-0.504279479937926	-0.936094709325116	2493	185	gtex	adult specific
Schizophrenia.MetaBrainCortex	0.214638334406525	0.638095238095238	-0.542481107548914	-1.09564581870838	999	463	gtex	adult specific
ALS.MetaBrainCerebellum	0.272582841579664	0.638095238095238	-0.944198707043212	-1.19497878332824	1200	2	gtex	adult specific
ALS.MetaBrainCortex	0.262560273759527	0.638095238095238	-0.891119428376999	-1.2425805681367	1687	2	gtex	adult specific
ALS.MetaBrainCerebellum	0.684533648170012	0.932814134604208	0.497788363388908	0.771954259569476	2898	2	hdbr	prenatal specific
Schizophrenia.MetaBrainCortex	0.992138681717396	0.992138681717396	-0.154487387996707	-0.728694405069598	9843	463	hdbr	prenatal specific
ALS.MetaBrainCortex	0.762311327946333	0.932814134604208	-0.557440989922073	-0.837407787949654	4999	2	hdbr	prenatal specific
Schizophrenia.MetaBrain	0.816212367778682	0.932814134604208	-0.18853091088103	-0.873659859559055	8024	338	hdbr	prenatal specific
MS.MetaBrain	0.678097217411384	0.932814134604208	-0.214933570819873	-0.891880187594382	5872	91	hdbr	prenatal specific
Schizophrenia.MetaBrainCerebellum	0.474194838967794	0.932814134604208	-0.21065522297006	-1.00700194213659	4740	983	hdbr	prenatal specific
MS.MetaBrainCerebellum	0.199069669098213	0.796278676392853	-0.254047218162141	-1.13612671855107	1882	185	hdbr	prenatal specific
MS.MetaBrainCortex	0.00154830718414533	0.0123864574731627	-0.338544961361907	-1.46842178522719	14	186	hdbr	prenatal specific
Schizophrenia.MetaBrain	0.511111111111111	0.511111111111111	-0.407006562308888	-0.99699585382343	5105	338	hdbr	shared
ALS.MetaBrainCortex	0.383345836459115	0.438109527381845	-0.8169187133963	-1.09634322301105	2554	2	hdbr	shared
ALS.MetaBrainCerebellum	0.33443420823918	0.438109527381845	-0.837699897924464	-1.11869166981845	1923	2	hdbr	shared
Schizophrenia.MetaBrainCortex	0.0499049904990499	0.0998099809980998	-0.460026281821546	-1.13673948997028	498	463	hdbr	shared
Schizophrenia.MetaBrainCerebellum	0.0027997200279972	0.0074659200746592	-0.46067723336881	-1.16220232798846	27	983	hdbr	shared
MS.MetaBrain	0.129345101885148	0.206952163016236	-0.498534781496384	-1.18623537730312	1186	91	hdbr	shared
MS.MetaBrainCerebellum	0.000915844102981581	0.00366337641192633	-0.559841867401613	-1.37450791780096	8	185	hdbr	shared
MS.MetaBrainCortex	0.000101081572829273	0.000808652582634186	-0.646557109489395	-1.56729100163321	0	186	hdbr	shared
