data	type	pathway	MetaBrain network	pval	padj	ES	NES	nMoreExtreme	size	ctrlExpr
gtex	pseudotimeDE	Schizophrenia	MetaBrain	0.000110619469026549	0.000884955752212389	0.261176179244595	1.40824475853615	0	1985	FALSE
gtex	pseudotimeDE	MS	MetaBrainCerebellum	0.00278956943602183	0.00557913887204366	0.242850738489966	1.27059432938567	22	983	FALSE
gtex	pseudotimeDE	Schizophrenia	MetaBrainCerebellum	0.00112462938349862	0.00299901168932965	0.21211434095753	1.1669152879738	10	4820	FALSE
gtex	pseudotimeDE	ALS	MetaBrainCortex	0.319191919191919	0.319191919191919	0.342373003902543	1.09942569449988	1895	28	FALSE
gtex	pseudotimeDE	Schizophrenia	MetaBrainCortex	0.225851509616418	0.295067829778765	0.193097502021936	1.04892062671141	2101	2487	FALSE
gtex	pseudotimeDE	MS	MetaBrain	0.0364835164835165	0.0583736263736264	-0.214033379263377	-1.16513885584015	82	593	FALSE
gtex	pseudotimeDE	ALS	MetaBrainCerebellum	0.25818435105642	0.295067829778765	-0.455990534948466	-1.18137768838706	1111	11	FALSE
gtex	pseudotimeDE	MS	MetaBrainCortex	0.000555555555555556	0.00222222222222222	-0.341804003999243	-1.92427077074605	0	959	FALSE
gtex	sexDE	Schizophrenia	MetaBrain	0.042654028436019	0.0653421633554084	0.17360948462113	1.07882083863573	35	2203	FALSE
gtex	sexDE	ALS	MetaBrainCortex	0.628887353144437	0.628887353144437	0.249347974205471	0.895971226809862	2729	31	FALSE
gtex	sexDE	Schizophrenia	MetaBrainCerebellum	0.0490066225165563	0.0653421633554084	-0.186674993154994	-1.08616242525014	480	5355	FALSE
gtex	sexDE	Schizophrenia	MetaBrainCortex	0.076054537707712	0.0869194716659565	-0.189946787831275	-1.09334082533026	713	2779	FALSE
gtex	sexDE	MS	MetaBrainCerebellum	0.000478011472275335	0.00191204588910134	-0.240233958208754	-1.33788586749994	3	1106	FALSE
gtex	sexDE	MS	MetaBrain	0.00153984344924933	0.0041062491979982	-0.253889741280787	-1.36807792311524	11	656	FALSE
gtex	sexDE	ALS	MetaBrainCerebellum	0.00258588843738456	0.00517177687476912	-0.704899567830652	-1.88863887931439	13	12	FALSE
gtex	sexDE	MS	MetaBrainCortex	0.000119774823332136	0.000958198586657085	-0.37169143669858	-2.06650907256998	0	1065	FALSE
hdbr	pseudotimeDE	MS	MetaBrainCortex	0.00011401208528104	0.000304032227416106	0.424106567980295	2.24459376166033	0	860	FALSE
