pathway	pval	padj	ES	NES	nMoreExtreme	size	data	type
Schizophrenia.MetaBrain	0.000110619469026549	0.000884955752212389	0.261176179244595	1.40824475853615	0	1985	gtex	pseudotimeDE
MS.MetaBrainCerebellum	0.00278956943602183	0.00557913887204366	0.242850738489966	1.27059432938567	22	983	gtex	pseudotimeDE
Schizophrenia.MetaBrainCerebellum	0.00112462938349862	0.00299901168932965	0.21211434095753	1.1669152879738	10	4820	gtex	pseudotimeDE
ALS.MetaBrainCortex	0.319191919191919	0.319191919191919	0.342373003902543	1.09942569449988	1895	28	gtex	pseudotimeDE
Schizophrenia.MetaBrainCortex	0.225851509616418	0.295067829778765	0.193097502021936	1.04892062671141	2101	2487	gtex	pseudotimeDE
MS.MetaBrain	0.0364835164835165	0.0583736263736264	-0.214033379263377	-1.16513885584015	82	593	gtex	pseudotimeDE
ALS.MetaBrainCerebellum	0.25818435105642	0.295067829778765	-0.455990534948466	-1.18137768838706	1111	11	gtex	pseudotimeDE
MS.MetaBrainCortex	0.000555555555555556	0.00222222222222222	-0.341804003999243	-1.92427077074605	0	959	gtex	pseudotimeDE
Schizophrenia.MetaBrain	0.042654028436019	0.0653421633554084	0.17360948462113	1.07882083863573	35	2203	gtex	sexDE
ALS.MetaBrainCortex	0.628887353144437	0.628887353144437	0.249347974205471	0.895971226809862	2729	31	gtex	sexDE
Schizophrenia.MetaBrainCerebellum	0.0490066225165563	0.0653421633554084	-0.186674993154994	-1.08616242525014	480	5355	gtex	sexDE
Schizophrenia.MetaBrainCortex	0.076054537707712	0.0869194716659565	-0.189946787831275	-1.09334082533026	713	2779	gtex	sexDE
MS.MetaBrainCerebellum	0.000478011472275335	0.00191204588910134	-0.240233958208754	-1.33788586749994	3	1106	gtex	sexDE
MS.MetaBrain	0.00153984344924933	0.0041062491979982	-0.253889741280787	-1.36807792311524	11	656	gtex	sexDE
ALS.MetaBrainCerebellum	0.00258588843738456	0.00517177687476912	-0.704899567830652	-1.88863887931439	13	12	gtex	sexDE
MS.MetaBrainCortex	0.000119774823332136	0.000958198586657085	-0.37169143669858	-2.06650907256998	0	1065	gtex	sexDE
MS.MetaBrainCortex	0.00011401208528104	0.000304032227416106	0.424106567980295	2.24459376166033	0	860	hdbr	pseudotimeDE
MS.MetaBrainCerebellum	0.000112410071942446	0.000304032227416106	0.31603680304722	1.68174940298056	0	950	hdbr	pseudotimeDE
ALS.MetaBrainCerebellum	0.0210398191618849	0.0336637106590158	0.690194933893629	1.60092159174578	120	8	hdbr	pseudotimeDE
MS.MetaBrain	0.000241283628905779	0.000482567257811558	0.277166075909848	1.42922887430542	1	557	hdbr	pseudotimeDE
Schizophrenia.MetaBrainCerebellum	0.000100391526955125	0.000304032227416106	0.220199313014867	1.22162121629603	0	4737	hdbr	pseudotimeDE
ALS.MetaBrainCortex	0.355609756097561	0.406411149825784	0.322005660529808	1.07445822326804	2186	30	hdbr	pseudotimeDE
Schizophrenia.MetaBrainCortex	0.31381780962129	0.406411149825784	0.187208732787153	1.03114784104545	3065	2507	hdbr	pseudotimeDE
Schizophrenia.MetaBrain	0.80954356846473	0.80954356846473	0.170378416902547	0.9343652984304	7803	2024	hdbr	pseudotimeDE
Schizophrenia.MetaBrain	1	1	-0.119317464636106	-0.646177123117778	9996	2216	hdbr	sexDE
Schizophrenia.MetaBrainCortex	1	1	-0.130083205599173	-0.706334109969303	10000	2766	hdbr	sexDE
MS.MetaBrainCerebellum	0.448418712741235	0.597891616988313	-0.189630834270944	-1.01168513838028	4437	1077	hdbr	sexDE
ALS.MetaBrainCortex	0.399741639156021	0.597891616988313	-0.302927566258688	-1.04047892374793	2784	31	hdbr	sexDE
Schizophrenia.MetaBrainCerebellum	0.0148985101489851	0.0595940405959404	-0.20363808290182	-1.11169936435346	148	5261	hdbr	sexDE
ALS.MetaBrainCerebellum	0.257869437122034	0.515738874244069	-0.439908514236704	-1.17817992487016	1662	12	hdbr	sexDE
MS.MetaBrain	0.0555383183369532	0.148102182231875	-0.227457486821837	-1.19018118106288	536	646	hdbr	sexDE
MS.MetaBrainCortex	0.000101183851057371	0.00080947080845897	-0.275646385811674	-1.46905532394413	0	1042	hdbr	sexDE
