gene_id gene_name gene_type chr logFC AveExpr t P.Value adj.P.Val B qvalue
ENSG00000000003.14 TSPAN6 protein_coding chrX -0.813176218523785 5.89887931257184 -11.5525412360127 6.42556850032361e-25 3.71813283721091e-24 45.6644132822365 4.16393376744988e-25
ENSG00000000419.12 DPM1 protein_coding chr20 0.0908724000039272 5.42344038167272 2.08434562073293 0.0381678049327417 0.0461989909349445 -5.4629904913284 0.00517382102250088
ENSG00000000457.13 SCYL3 protein_coding chr1 -0.283697947474119 4.31796917383876 -6.5363269694174 3.64586006833431e-10 7.80293793968901e-10 12.2421422519781 8.7385034894986e-11
ENSG00000000460.16 C1orf112 protein_coding chr1 -1.19632395601041 4.04394503246372 -16.4852774125363 1.48913717332559e-41 4.95834823647579e-40 83.8240989951713 5.55284992671873e-41
ENSG00000000938.12 FGR protein_coding chr1 0.0782728341921196 -0.920230149120862 0.441311194219017 0.659378037406293 0.68407849869681 -6.450804755291 0.0766098922502937
ENSG00000000971.15 CFH protein_coding chr1 -1.91852952047375 1.77797552508634 -6.41710370893394 7.15301629119528e-10 1.50170713889289e-09 11.8571568469625 1.68176053364119e-10
ENSG00000001036.13 FUCA2 protein_coding chr6 -0.469660260356402 4.01403132397724 -7.79658507500475 1.83452740035633e-13 4.83082159214776e-13 19.723042067148 5.41003294738633e-14
ENSG00000001084.11 GCLC protein_coding chr6 -0.192915071041101 4.61491826193342 -4.14885623136035 4.6154233998374e-05 7.07476005262692e-05 0.805342257591043 7.92301769988314e-06
ENSG00000001167.14 NFYA protein_coding chr6 0.418864943428194 6.17192567760828 6.46658426069715 5.41315942631188e-10 1.1450389111932e-09 11.685457153683 1.28232809211247e-10
ENSG00000001460.17 STPG1 protein_coding chr1 -0.17704136444172 2.36764235025741 -1.87459088165934 0.062042239303058 0.0734071339480126 -5.38173049824475 0.00822085861911092
ENSG00000001461.16 NIPAL3 protein_coding chr1 0.0713898000467603 3.71547674407506 0.997774778412672 0.319375801823787 0.348025573702313 -6.79830007386422 0.038975354074822
ENSG00000001497.16 LAS1L protein_coding chrX -0.135195311717407 6.15753188594427 -3.57373477197151 0.00042394110966459 0.000603466842220146 -1.42564998666792 6.75821997726618e-05
ENSG00000001561.6 ENPP4 protein_coding chr6 0.63072448280854 3.61957791538605 7.89031610857862 1.0103665278814e-13 2.70218585212617e-13 20.4139507005035 3.02617561238983e-14
ENSG00000001617.11 SEMA3F protein_coding chr3 0.729333851125667 4.46437077579958 7.70136610506646 3.34862172229543e-13 8.6879692173386e-13 19.0762852246095 9.72964925636659e-14
ENSG00000001626.14 CFTR protein_coding chr7 -0.0794076752506607 1.94456699761158 -0.483443675085239 0.629213737754482 0.655138072755657 -6.77614870363334 0.0733688564375135
ENSG00000001629.9 ANKIB1 protein_coding chr7 0.420654033856203 6.44693908339995 9.91162526492433 1.10713135027894e-19 4.38619244350276e-19 33.678697175635 4.91209314612194e-20
ENSG00000001630.15 CYP51A1 protein_coding chr7 0.634658593090775 7.24420765339136 9.57797084392662 1.17865749099685e-18 4.38270488630324e-18 31.3298948573868 4.90818743381289e-19
ENSG00000001631.15 KRIT1 protein_coding chr7 -0.404225785457354 5.35150825012408 -10.366388833014 4.18366396997825e-21 1.83814061280112e-20 36.985220474996 2.05853209179719e-21
ENSG00000002016.17 RAD52 protein_coding chr12 -0.642960274147899 4.4391298027941 -10.4079586521955 3.09245346680437e-21 1.3706712472142e-20 37.3860322742058 1.53501355121812e-21
ENSG00000002330.13 BAD protein_coding chr11 1.00678284649513 3.95854543193734 9.25499572604766 1.12471465064959e-17 3.91981081451166e-17 29.2598338099176 4.38979276082128e-18
ENSG00000002549.12 LAP3 protein_coding chr4 0.360436018496524 4.3119529273422 6.93528144387883 3.60535721726182e-11 8.23774316057202e-11 14.4970055779943 9.2254414825092e-12
ENSG00000002586.19 CD99 protein_coding chrX -0.446350459523081 4.64787875895783 -4.05113897914423 6.85052157161347e-05 0.000103681978830039 0.396671449512621 1.1611335894343e-05
ENSG00000002587.9 HS3ST1 protein_coding chr4 2.71782216542118 2.59928557701399 15.4210154947379 6.27625072485881e-38 1.25340000303473e-36 75.4782761741788 1.40368158569426e-37
ENSG00000002745.12 WNT16 protein_coding chr7 0.621076631462562 -1.57071549122066 2.07770374453284 0.0387813118666736 0.046915798572774 -4.34095217675539 0.00525409624822851
ENSG00000002746.14 HECW1 protein_coding chr7 -0.0747339311752339 5.85536334260076 -0.764121720624872 0.445532068996642 0.475525774908008 -7.31885449238505 0.0532540906450651
ENSG00000002822.15 MAD1L1 protein_coding chr7 0.116543273645617 3.65239768955895 1.79815412834409 0.0733870923764963 0.0862105005415236 -5.79138817160367 0.00965470654305307
ENSG00000002834.17 LASP1 protein_coding chr17 0.45542458943754 7.38751589224541 8.60852246660059 9.20438236124439e-16 2.83238977831863e-15 24.738265918421 3.17199087738022e-16
ENSG00000002919.14 SNX11 protein_coding chr17 0.0992084195046807 3.80756803369403 1.84847394918893 0.0657421837596382 0.0776336031605167 -5.66721914063703 0.00869418054281697
ENSG00000002933.7 TMEM176A protein_coding chr7 -1.46905791530947 -0.588554853518848 -7.79512664401856 1.85157348362144e-13 4.87352291400299e-13 20.0866562719268 5.45785412101636e-14
ENSG00000003056.7 M6PR protein_coding chr12 -0.861036704148529 4.6107529426309 -10.8968497064106 8.56564372370594e-23 4.21792699327247e-22 40.9097600411722 4.72365281308785e-23
ENSG00000003096.14 KLHL13 protein_coding chrX -0.136902977348248 4.51567411957625 -1.33348445143605 0.183614832544776 0.206829421272858 -6.59484044902918 0.023162809104642
ENSG00000003137.8 CYP26B1 protein_coding chr2 1.35513474232668 2.15100617918693 4.46724915039327 1.21210546150062e-05 1.93615902773845e-05 2.54756368401537 2.16830283040685e-06
ENSG00000003147.17 ICA1 protein_coding chr7 1.20475848580812 3.29446971564929 11.0349093832224 3.08010262275445e-23 1.56891057250425e-22 42.0533018853499 1.75702160115937e-23
