gene_id gene_name gene_type chr logFC AveExpr t P.Value adj.P.Val z.std qvalue
ENSG00000000003.14 TSPAN6 protein_coding chrX -0.838983701696998 5.89887931257184 -15.3652104780836 3.37283800902698e-35 3.54047489219316e-34 -12.379536787034 3.64837645335357e-35
ENSG00000000419.12 DPM1 protein_coding chr20 -0.230623266454873 5.42344038167272 -5.30956471207495 2.91194774057904e-07 5.29866193208256e-07 -5.12905854895344 5.46014701867182e-08
ENSG00000000457.13 SCYL3 protein_coding chr1 -0.333865472734877 4.31796917383876 -9.83197474148076 6.50685922406121e-19 2.35052949902818e-18 -8.88302113985689 2.42216559594218e-19
ENSG00000000460.16 C1orf112 protein_coding chr1 -1.54210662497302 4.04394503246372 -36.4200675341779 1.44558936887054e-97 7.71594277069264e-95 -20.962416440511 7.95109830664006e-96
ENSG00000000938.12 FGR protein_coding chr1 0.842089002973954 -0.920230149120862 6.03761538080935 1.47536686309839e-08 2.9268061636012e-08 5.66440370463162 3.01600520155027e-09
ENSG00000000971.15 CFH protein_coding chr1 -0.39066348814142 1.77797552508634 -2.09564419326971 0.0379108230231006 0.0465825766814716 -2.07581761000743 0.00480022542388208
ENSG00000001036.13 FUCA2 protein_coding chr6 -0.320055315171809 4.01403132397724 -6.84478083035078 1.27533125485763e-10 2.86125139766428e-10 -6.43008438469626 2.94845255063987e-11
ENSG00000001084.11 GCLC protein_coding chr6 -0.126257875559346 4.61491826193342 -2.83893319672128 0.00514518277566948 0.0068537585578645 -2.79780083715286 0.000706263766892408
ENSG00000001167.14 NFYA protein_coding chr6 -0.38034177936733 6.17192567760828 -7.19154364376296 2.40579847206388e-11 5.61491112851903e-11 -6.67899897400348 5.78603440858523e-12
ENSG00000001460.17 STPG1 protein_coding chr1 0.982497781223945 2.36764235025741 10.2492892431103 6.04055526581071e-20 2.3241227709041e-19 9.14360293454198 2.39495408109415e-20
ENSG00000001461.16 NIPAL3 protein_coding chr1 0.283308666167322 3.71547674407506 4.31314736061398 2.836436651496e-05 4.51278070449377e-05 4.18621581969559 4.65031482011852e-06
ENSG00000001497.16 LAS1L protein_coding chrX 0.0528247180242499 6.15753188594427 1.36515428379901 0.173799606211819 0.198104333386073 1.36009581196989 0.0204141875663843
ENSG00000001561.6 ENPP4 protein_coding chr6 0.465115429720069 3.61957791538605 8.16019268500498 8.68413993166012e-14 2.33138912903919e-13 7.45951521801031 2.40244189296372e-14
