gene_id gene_name gene_type chr logFC AveExpr t P.Value adj.P.Val z.std qvalue
ENSG00000000003.14 TSPAN6 protein_coding chrX 0.0547704043198926 5.89887931257184 0.716169590351603 0.474609981536258 0.672548689845507 0.714998481578264 0.351362623927887
ENSG00000000419.12 DPM1 protein_coding chr20 -0.153953044133727 5.42344038167272 -2.23185058021685 0.0265847028098957 0.135689062675602 -2.21756212410403 0.0708886446733945
ENSG00000000457.13 SCYL3 protein_coding chr1 -0.091404580437309 4.31796917383876 -1.8832761324951 0.0609378966680136 0.208015525564029 -1.87394579454461 0.108674482581633
ENSG00000000460.16 C1orf112 protein_coding chr1 0.095752720591635 4.04394503246372 1.63984208729872 0.102459795340336 0.276883527941803 1.63304375121695 0.14465350147718
ENSG00000000938.12 FGR protein_coding chr1 0.398557239567185 -0.920230149120862 1.94034067863922 0.0537070431342118 0.194050432362258 1.92919190192882 0.1013786364
ENSG00000000971.15 CFH protein_coding chr1 -0.251175988063148 1.77797552508634 -0.784734757557127 0.433459218541713 0.638961475888671 -0.783285938769151 0.333815505325943
ENSG00000001036.13 FUCA2 protein_coding chr6 0.019259174127162 4.01403132397724 0.246429959709081 0.805568262968069 0.897817712966169 0.246147230388535 0.469050928504808
ENSG00000001084.11 GCLC protein_coding chr6 -0.19457816721892 4.61491826193342 -2.59905176295395 0.00999053321807492 0.084288644094648 -2.5761567912332 0.044035293806345
ENSG00000001167.14 NFYA protein_coding chr6 0.113116419621165 6.17192567760828 1.02464179248351 0.30667150457998 0.524641791149162 1.02223116326881 0.27409096046673
ENSG00000001460.17 STPG1 protein_coding chr1 -0.558966578124716 2.36764235025741 -3.64903426896708 0.000327535054297411 0.0212103031117448 -3.59248854681754 0.0110809936413086
ENSG00000001461.16 NIPAL3 protein_coding chr1 0.15690792251469 3.71547674407506 1.43378931954089 0.153022568323507 0.349953196371104 1.42893621156269 0.182827615584454
ENSG00000001497.16 LAS1L protein_coding chrX 0.220526159349121 6.15753188594427 3.35004064171311 0.000941842720009803 0.0325286620985347 3.30734662367718 0.016994094614072
ENSG00000001561.6 ENPP4 protein_coding chr6 -0.250193385553522 3.61957791538605 -2.19505610404725 0.0291657386119691 0.141965416923931 -2.18123906754964 0.0741676285309058
ENSG00000001617.11 SEMA3F protein_coding chr3 0.563481810452565 4.46437077579958 3.27197541223508 0.00123837176808173 0.0363212893211115 3.22989156345247 0.0189754938385818
ENSG00000001626.14 CFTR protein_coding chr7 0.176270693451914 1.94456699761158 0.958622612806384 0.338758484228432 0.555576530837952 0.956621200349302 0.290252335058176
ENSG00000001629.9 ANKIB1 protein_coding chr7 -0.137856153778858 6.44693908339995 -2.12581288945181 0.0345672296730993 0.155381110199667 -2.11339200528775 0.0811764492487886
ENSG00000001630.15 CYP51A1 protein_coding chr7 -0.151119128448602 7.24420765339136 -1.66324366866039 0.0976982261422431 0.271046478264607 -1.65611651176723 0.141604025474114
ENSG00000001631.15 KRIT1 protein_coding chr7 0.0243108912132626 5.35150825012408 0.534017188091205 0.593834182027448 0.763432981697063 0.533288073848742 0.39884371152933
ENSG00000002016.17 RAD52 protein_coding chr12 0.0325486409776849 4.4391298027941 0.464214523895523 0.642933586743771 0.797228595347046 0.463601071209272 0.416499705316247
ENSG00000002330.13 BAD protein_coding chr11 0.246869339231443 3.95854543193734 1.54217867934444 0.124570667500166 0.312460390697053 1.53586836832192 0.163240081211174
ENSG00000002549.12 LAP3 protein_coding chr4 -0.153809053332259 4.3119529273422 -1.70196520908788 0.0900934193960088 0.258917521494746 -1.69490512898788 0.13526744027142
ENSG00000002586.19 CD99 protein_coding chrX 0.57634766574921 4.64787875895783 3.52010203368797 0.000518255387371037 0.025273668419495 3.47113913806186 0.0132038357761087
ENSG00000002587.9 HS3ST1 protein_coding chr4 0.363710639335499 2.59928557701399 1.73261855870334 0.0845115071905534 0.249469697947781 1.72508859713077 0.130331571505351
ENSG00000002745.12 WNT16 protein_coding chr7 0.421123243925233 -1.57071549122066 1.01909828438746 0.309380185978805 0.526949180432657 1.01652345097426 0.275296420183347
ENSG00000002746.14 HECW1 protein_coding chr7 -0.341280511472915 5.85536334260076 -2.33440858962865 0.0204968329148558 0.120231823649258 -2.31712666396245 0.0628132500663149
ENSG00000002822.15 MAD1L1 protein_coding chr7 0.322288649148589 3.65239768955895 2.6569981996359 0.00848427690698161 0.0777534096980095 2.63216451343193 0.0406210620336028
ENSG00000002834.17 LASP1 protein_coding chr17 0.133098390759442 7.38751589224541 1.88003723611196 0.0614019502959093 0.208750039087463 1.87058986620579 0.109058217771071
ENSG00000002919.14 SNX11 protein_coding chr17 0.0439041958110876 3.80756803369403 0.720125236051607 0.472173256690774 0.671035855195163 0.718947518259172 0.350572266946542
