gene_id gene_name gene_type chr logFC AveExpr t P.Value adj.P.Val z.std qvalue
ENSG00000000003.14 TSPAN6 protein_coding chrX -0.855747483128774 5.89887931257184 -7.67680185805708 1.29955650137887e-09 7.71759548728502e-09 -6.0674517389638 1.10520437519104e-09
ENSG00000000419.12 DPM1 protein_coding chr20 0.0373194875681235 5.42344038167272 0.497424758947098 0.620715286183656 0.660780796013473 0.494836855678081 0.0946276373255763
ENSG00000000457.13 SCYL3 protein_coding chr1 -0.207625566436926 4.31796917383876 -2.71830662235806 0.00862736675805368 0.0130127109159409 -2.6264776122438 0.001863495574637
ENSG00000000460.16 C1orf112 protein_coding chr1 -1.34690785151256 4.04394503246372 -10.0988968057089 3.00250599251198e-13 7.56597146668182e-12 -7.29428440325728 1.08349093721275e-12
ENSG00000000938.12 FGR protein_coding chr1 0.121493380295629 -0.920230149120862 0.512950695198247 0.61100671102714 0.651469261987412 0.508636968759685 0.0932941717193136
ENSG00000000971.15 CFH protein_coding chr1 -1.41536287213213 1.77797552508634 -2.49028723822276 0.0178608320133945 0.0255254113658361 -2.36849064621059 0.00365538675440446
ENSG00000001036.13 FUCA2 protein_coding chr6 -0.458485187957861 4.01403132397724 -5.30609689351558 2.48870309931065e-06 6.89787826770382e-06 -4.70905303967363 9.87816121428176e-07
ENSG00000001084.11 GCLC protein_coding chr6 -0.225609915671642 4.61491826193342 -3.30886461194455 0.00161390509664583 0.00273155802559043 -3.15338191317127 0.000391174930837531
ENSG00000001167.14 NFYA protein_coding chr6 0.421340398975329 6.17192567760828 4.9503729533838 7.53548384101131e-06 1.89804107501177e-05 4.47797382420933 2.7181047566582e-06
ENSG00000001460.17 STPG1 protein_coding chr1 -0.303838181331874 2.36764235025741 -1.83896709120892 0.0726950573387669 0.0936960880993004 -1.79474048296118 0.0134178225169018
ENSG00000001461.16 NIPAL3 protein_coding chr1 0.112305379421134 3.71547674407506 1.12136448129559 0.268368163265414 0.310499003399698 1.10682831598055 0.0444652557412707
ENSG00000001497.16 LAS1L protein_coding chrX -0.223600788840752 6.15753188594427 -3.57906735639639 0.00086107379588061 0.00151943035870978 -3.33237746614725 0.000217591228124203
ENSG00000001561.6 ENPP4 protein_coding chr6 0.694641467617995 3.61957791538605 5.6896059347207 8.22468332966837e-07 2.51291538887734e-06 4.92995910184635 3.59864038850935e-07
ENSG00000001617.11 SEMA3F protein_coding chr3 0.754224282000795 4.46437077579958 5.69805967465239 2.34564427533701e-06 6.52807367132028e-06 4.7211070582202 9.34857961265181e-07
ENSG00000001626.14 CFTR protein_coding chr7 -0.219783588476379 1.94456699761158 -0.809839951600209 0.421641173057085 0.468242079454479 -0.803577238160683 0.06705497790267
ENSG00000001629.9 ANKIB1 protein_coding chr7 0.478397040269593 6.44693908339995 7.35530329652679 5.44226348568176e-09 2.70332851203605e-08 5.83305188712683 3.87132300987182e-09
ENSG00000001630.15 CYP51A1 protein_coding chr7 0.584473604253155 7.24420765339136 4.80501879757696 1.40845763557974e-05 3.36661321659675e-05 4.34253854709045 4.82118512519716e-06
ENSG00000001631.15 KRIT1 protein_coding chr7 -0.423714664992214 5.35150825012408 -6.62791815377793 1.41096470238536e-08 6.33836579133277e-08 -5.67205280217464 9.07690694035920e-09
ENSG00000002016.17 RAD52 protein_coding chr12 -0.798609822559552 4.4391298027941 -6.98578340320083 3.77463148320373e-09 1.96067115733266e-08 -5.89377846651376 2.80779466216524e-09
ENSG00000002330.13 BAD protein_coding chr11 1.16614056000492 3.95854543193734 5.9140161755669 3.22976491394837e-07 1.07277162350154e-06 5.10952105924122 1.53627110131396e-07
ENSG00000002549.12 LAP3 protein_coding chr4 0.332378169029954 4.3119529273422 4.39541940653173 0.000127613344398034 0.000257802666386853 3.8310195880434 3.69188350563449e-05
ENSG00000002586.19 CD99 protein_coding chrX -0.308997791819816 4.64787875895783 -1.93458935117157 0.0609226168016853 0.0795943459683196 -1.87405665449335 0.0113983713644472
ENSG00000002587.9 HS3ST1 protein_coding chr4 2.96636006201727 2.59928557701399 10.4479833959064 1.44189466093776e-14 8.81858769366584e-13 7.69258691408245 1.26287283624839e-13
ENSG00000002745.12 WNT16 protein_coding chr7 0.960212314972377 -1.57071549122066 2.0224558055756 0.0488186542963651 0.0646826972149974 1.97017206197244 0.00926293689257888
ENSG00000002746.14 HECW1 protein_coding chr7 -0.110406601606406 5.85536334260076 -0.635144492307503 0.529803129591567 0.574153895929247 -0.628306568367502 0.0822221634781767
ENSG00000002822.15 MAD1L1 protein_coding chr7 0.0920489496857617 3.65239768955895 0.794632392627714 0.430460544741183 0.477043666482396 0.788403806925142 0.0683154161451129
ENSG00000002834.17 LASP1 protein_coding chr17 0.602587843617842 7.38751589224541 5.68891432569414 6.69097799872166e-07 2.08113873334775e-06 4.97012491729657 2.98031120867237e-07
ENSG00000002919.14 SNX11 protein_coding chr17 0.229087479749952 3.80756803369403 2.26773431983217 0.0268566279960594 0.0371809043089358 2.21359534264456 0.00532452085413087
ENSG00000002933.7 TMEM176A protein_coding chr7 -1.4341431839312 -0.588554853518848 -5.49355791750902 1.75708023395789e-06 5.02585437494873e-06 -4.77952706006701 7.19731456956738e-07
ENSG00000003056.7 M6PR protein_coding chr12 -0.776902626309251 4.6107529426309 -5.25418241300451 2.23076648960936e-06 6.23594999967931e-06 -4.73130900199129 8.93024159464298e-07
ENSG00000003096.14 KLHL13 protein_coding chrX -0.162237358224316 4.51567411957625 -1.11412775718573 0.271207457632036 0.313454603591253 -1.10028616625789 0.0448885148079584
ENSG00000003137.8 CYP26B1 protein_coding chr2 1.33656193435282 2.15100617918693 4.22834836244682 0.000113382840771248 0.000231122017977636 3.86000901772649 3.30980116660309e-05
ENSG00000003147.17 ICA1 protein_coding chr7 1.59587018216582 3.29446971564929 7.34106542342352 3.95289813125607e-09 2.03993180914389e-08 5.88615241083788 2.92130050644872e-09
ENSG00000003249.13 DBNDD1 protein_coding chr16 1.01374945631086 4.66736804209727 7.0815520002671 1.24097376905135e-08 5.62928456556025e-08 5.69399959671525 8.06146155405882e-09
ENSG00000003393.14 ALS2 protein_coding chr2 0.339019249086973 6.02020271561536 4.65622310861798 3.17666996448269e-05 7.13879366603702e-05 4.16041703777905 1.02231660188578e-05
ENSG00000003400.14 CASP10 protein_coding chr2 -0.504989191727243 1.89389462653383 -4.73587316024244 2.35374103133984e-05 5.41025636513374e-05 -4.22838563939653 7.74780048462286e-06
ENSG00000003402.19 CFLAR protein_coding chr2 -0.397413754322244 6.0213200337069 -4.45501234301743 4.23846764018303e-05 9.32505233751985e-05 -4.09408065383553 1.3354015067636e-05
ENSG00000003436.15 TFPI protein_coding chr2 -0.0373825402321372 4.40014905111468 -0.282605774271841 0.778881632081002 0.806206797171932 -0.280776756899755 0.115453483019571
ENSG00000003509.15 NDUFAF7 protein_coding chr2 -0.170676291543795 4.40147990517433 -2.44265227514855 0.0179209331065785 0.0256029942200725 -2.3672477229845 0.00366649706850205
ENSG00000003756.16 RBM5 protein_coding chr3 -0.242434154253545 8.17766646822414 -3.39048427755557 0.00137995372003324 0.00235642315314256 -3.19881148372757 0.000337453444268406
ENSG00000003987.13 MTMR7 protein_coding chr8 0.993711897047186 4.53467298236818 7.8179750398442 1.42084866909839e-09 8.35341403788353e-09 6.05309969956074 1.19625727438832e-09
ENSG00000003989.17 SLC7A2 protein_coding chr8 -1.2054317826852 1.12425071543525 -3.43129119010747 0.00121851179322592 0.00209926317741406 -3.23451111119266 0.000300626646236893
ENSG00000004059.10 ARF5 protein_coding chr7 0.860008096260994 6.35334016142659 7.24417953374289 2.01215425566912e-09 1.12980825818795e-08 5.99682279271314 1.61795086582798e-09
ENSG00000004139.13 SARM1 protein_coding chr17 0.0954958789860906 5.83329267673726 1.28342443098008 0.204904269196789 0.243173682632546 1.26770233901689 0.0348238798495714
ENSG00000004142.11 POLDIP2 protein_coding chr17 0.238752068188259 5.57850784801352 3.59486363671046 0.000813293372443912 0.00144190734395844 3.34823050280078 0.000206489483387471
ENSG00000004399.12 PLXND1 protein_coding chr3 -0.392999691823104 4.69711218485461 -2.21863834142098 0.0315130197478288 0.0430854870634368 -2.15053374471644 0.00617009130475937
ENSG00000004455.16 AK2 protein_coding chr1 -0.664754531065247 6.13095412408404 -8.68728497374884 4.58831831150949e-12 6.38882519675321e-11 -6.9177627574123 9.14916773160187e-12
ENSG00000004468.12 CD38 protein_coding chr4 0.689010966588504 -0.713127882072451 2.42833178327356 0.0180894746667103 0.0258207460923367 2.3637815679889 0.00369768039786013
ENSG00000004478.7 FKBP4 protein_coding chr12 0.138542050341204 6.93360789034217 1.09034951609918 0.280001545972686 0.322792540792126 1.08031586792288 0.0462257615017853
ENSG00000004487.16 KDM1A protein_coding chr1 0.00737818755344925 8.07861689844581 0.142851194686399 0.886957548344321 0.901561883153776 0.142155034412081 0.129108883642405
ENSG00000004534.14 RBM6 protein_coding chr3 -0.305921903946107 7.9719882899594 -2.87121154955684 0.00569841097628462 0.0088402158654463 -2.76464880531049 0.0012659701157208
ENSG00000004660.14 CAMKK1 protein_coding chr17 0.989704738911951 4.20145410581457 7.9379506477167 3.67102564280358e-10 2.57103163707126e-09 6.26741004336663 3.68186622209889e-10
ENSG00000004700.15 RECQL protein_coding chr12 -0.118256417236823 5.4647377620388 -1.63083331933952 0.108955227439539 0.135983658762846 -1.60290682145034 0.0194736475715514
