gene_id gene_name gene_type chr logFC AveExpr t P.Value adj.P.Val B qvalue
ENSG00000000003.14 TSPAN6 protein_coding chrX 0.0898583168026187 5.89887931257184 0.958440185439187 0.338787988989267 0.48115216542282 -6.42452958456793 0.189243313656438
ENSG00000000419.12 DPM1 protein_coding chr20 -0.191519901793952 5.42344038167272 -2.8941571116657 0.00414534444508659 0.0171296333143988 -2.76270604780292 0.00673730433549619
ENSG00000000457.13 SCYL3 protein_coding chr1 0.0410141353059695 4.31796917383876 0.584424368146998 0.559473901677893 0.686395020140308 -6.51823265280241 0.269967959043646
ENSG00000000460.16 C1orf112 protein_coding chr1 -0.114977582822159 4.04394503246372 -0.979691802406566 0.3282070352874 0.471190701732192 -6.14054787183654 0.185325342309419
ENSG00000000938.12 FGR protein_coding chr1 0.978065389252514 -0.920230149120862 3.47674702960047 0.00060052820710498 0.00377910105035624 -0.418932756510984 0.00148636888038002
ENSG00000000971.15 CFH protein_coding chr1 1.2243639592955 1.77797552508634 2.5748371396518 0.0106182118184521 0.0353752946794432 -3.13178402854248 0.0139135568076013
ENSG00000001036.13 FUCA2 protein_coding chr6 -0.0453934996887893 4.01403132397724 -0.613359382281942 0.540209125243141 0.669616012106452 -6.45188505864178 0.263368560125001
ENSG00000001084.11 GCLC protein_coding chr6 -0.0776084724025259 4.61491826193342 -1.13040677042555 0.259412958976939 0.397330422558244 -6.11743786616135 0.156275147832617
ENSG00000001167.14 NFYA protein_coding chr6 0.00126026180057928 6.17192567760828 0.0127425667003495 0.989843573296946 0.994170655969229 -6.89874631478096 0.391020061419199
ENSG00000001460.17 STPG1 protein_coding chr1 0.302062999908534 2.36764235025741 2.01902347912289 0.0445767103697003 0.106957386793611 -4.40704638050839 0.0420677111139452
ENSG00000001461.16 NIPAL3 protein_coding chr1 0.133516155481867 3.71547674407506 1.23419320702775 0.218316330278458 0.349902078391697 -5.82084831018314 0.13762097217609
ENSG00000001497.16 LAS1L protein_coding chrX 0.0360718846966612 6.15753188594427 0.557983394065548 0.577366477116187 0.70140927842779 -6.74081507263732 0.275873259267993
ENSG00000001561.6 ENPP4 protein_coding chr6 0.0715762509675845 3.61957791538605 0.720099760094134 0.472151667861069 0.609303739485048 -6.33303435939417 0.239646970272039
ENSG00000001617.11 SEMA3F protein_coding chr3 -0.0483968082095891 4.46437077579958 -0.300477826539887 0.764068142443138 0.844203754923688 -6.64126794026251 0.332036157090917
ENSG00000001626.14 CFTR protein_coding chr7 0.0841606677949791 1.94456699761158 0.452338874172787 0.651426099322672 0.759680833783736 -6.16545383286533 0.298792208864289
ENSG00000001629.9 ANKIB1 protein_coding chr7 0.131963039647829 6.44693908339995 2.34004051844507 0.020087177691923 0.0582124955356254 -4.2264441252558 0.0228957206119847
ENSG00000001630.15 CYP51A1 protein_coding chr7 -0.1619542607658 7.24420765339136 -1.61993220908025 0.106536383647865 0.206757587216118 -5.62793041810263 0.0813204090934607
ENSG00000001631.15 KRIT1 protein_coding chr7 0.0499226228692311 5.35150825012408 0.769737682722779 0.442198824316156 0.582273681250582 -6.53804646031541 0.229015701920328
ENSG00000002016.17 RAD52 protein_coding chr12 0.0687920374327343 4.4391298027941 0.680543414886797 0.496804631199452 0.630323044743768 -6.45516252399281 0.247914132437714
ENSG00000002330.13 BAD protein_coding chr11 0.575353152960463 3.95854543193734 2.68798815916218 0.0076825380158359 0.0275882211235339 -3.12849749266213 0.0108508009700344
ENSG00000002549.12 LAP3 protein_coding chr4 -0.0308015485418007 4.3119529273422 -0.394519695120957 0.693541433504122 0.792144738176422 -6.62688630381967 0.311560678556405
ENSG00000002586.19 CD99 protein_coding chrX 0.317604329445548 4.64787875895783 2.1031595526822 0.0364744495217749 0.0916753644230227 -4.52671802673878 0.0360570958437414
ENSG00000002587.9 HS3ST1 protein_coding chr4 0.582357768252714 2.59928557701399 2.50298853419842 0.0129686190396283 0.0412923455827932 -3.43043194015028 0.0162408087675707
ENSG00000002745.12 WNT16 protein_coding chr7 0.832319616363904 -1.57071549122066 1.92084974397023 0.055914063732877 0.127326479455836 -4.1115218501639 0.050079136331552
ENSG00000002746.14 HECW1 protein_coding chr7 0.0254332289781344 5.85536334260076 0.182793468221849 0.855111612265085 0.90729088238282 -6.84878319943016 0.356849132917267
ENSG00000002822.15 MAD1L1 protein_coding chr7 0.318617129836429 3.65239768955895 2.34239081955381 0.019963950348684 0.0579889547232387 -3.89903038256013 0.0228077991453187
ENSG00000002834.17 LASP1 protein_coding chr17 0.167261674042622 7.38751589224541 1.80930734120933 0.0716318615384471 0.153196164295557 -5.30821903330463 0.060254014954439
ENSG00000002919.14 SNX11 protein_coding chr17 0.352157461600059 3.80756803369403 4.65759627707241 5.25585001077667e-06 9.13884916977496e-05 3.63491948337949 3.5944265124003e-05
ENSG00000002933.7 TMEM176A protein_coding chr7 -0.262179454524158 -0.588554853518848 -0.860968173881617 0.390099417755676 0.532528182930209 -5.52072189967642 0.209450159835808
ENSG00000003056.7 M6PR protein_coding chr12 0.7809899663249 4.6107529426309 7.56208853895407 8.00427410169496e-13 7.42038336985553e-10 18.6632199015165 2.91853188747176e-10
ENSG00000003096.14 KLHL13 protein_coding chrX 0.556954261414234 4.51567411957625 3.13324252906521 0.00193989167267032 0.00946516673751107 -1.97155264937778 0.00372277139424953
