gene_id gene_name gene_type chr size logFC AveExpr t P.Value adj.P.Val z.std qvalue
ENSG00000000003.14 TSPAN6 protein_coding chrX 4535 -0.336418266570221 5.89887931257184 -3.55265857942908 0.000468796484939321 0.0589812948980085 -3.49797988699353 0.0439506752465471
ENSG00000000419.12 DPM1 protein_coding chr20 1207 -0.159728995529675 5.42344038167272 -2.44053681961569 0.0154307520454429 0.234510152310984 -2.42210827715676 0.174748275094014
ENSG00000000457.13 SCYL3 protein_coding chr1 6883 -0.254709065704092 4.31796917383876 -4.49013137688144 1.1233023816288e-05 0.0131905654333398 -4.39196605883225 0.00982912054883727
ENSG00000000460.16 C1orf112 protein_coding chr1 5967 -0.153203885669661 4.04394503246372 -2.08730037785551 0.0379286123331513 0.318747123881884 -2.07562537878583 0.237518544679775
ENSG00000000938.12 FGR protein_coding chr1 3474 0.146858334257512 -0.920230149120862 0.588856941868242 0.556816902911933 0.839040333709269 0.587576031626243 0.625221763770664
ENSG00000000971.15 CFH protein_coding chr1 8145 -0.074358192084464 1.77797552508634 -0.278329985235741 0.78114489685626 0.932503301472461 -0.277827347736259 0.694866903824672
ENSG00000001036.13 FUCA2 protein_coding chr6 2793 -0.0467177617002325 4.01403132397724 -0.546221397677157 0.585641463111976 0.851140870590303 -0.545162932110258 0.63423863543628
ENSG00000001084.11 GCLC protein_coding chr6 8646 -0.173737376783185 4.61491826193342 -2.2749622648498 0.0241017931921975 0.275668172264524 -2.25550269688903 0.205417706341614
ENSG00000001167.14 NFYA protein_coding chr6 3811 0.0881107250720669 6.17192567760828 0.9093205412916 0.364682057094762 0.7214800324774 0.906479601167931 0.537620183807682
ENSG00000001460.17 STPG1 protein_coding chr1 8511 0.384598202152742 2.36764235025741 2.42142570459997 0.0162158321290991 0.237823203265572 2.40402121650259 0.177217037891306
ENSG00000001461.16 NIPAL3 protein_coding chr1 9404 0.000330160896459818 3.71547674407506 0.00292356162188133 0.997670788731184 0.999552257622119 0.00291923755826147 0.744829301266934
ENSG00000001497.16 LAS1L protein_coding chrX 5589 -0.0723983284277387 6.15753188594427 -1.03410406834194 0.302188701873602 0.676309720174585 -1.03175116496102 0.503960940987749
ENSG00000001561.6 ENPP4 protein_coding chr6 4651 -0.00356055175537051 3.61957791538605 -0.0316874368620676 0.974755657330771 0.994058385212576 -0.0316443720292594 0.740735471137648
ENSG00000001617.11 SEMA3F protein_coding chr3 4826 0.140554946183958 4.46437077579958 0.915464077339127 0.361168261455931 0.719557137502952 0.913141243197082 0.536187313730799
ENSG00000001626.14 CFTR protein_coding chr7 8517 0.0997032051459294 1.94456699761158 0.451852349222421 0.651827506162921 0.880602062705452 0.451224843181888 0.656192024036311
ENSG00000001629.9 ANKIB1 protein_coding chr7 7130 -0.057555843550807 6.44693908339995 -0.878677533719616 0.380849058047608 0.735153458460335 -0.876332948603054 0.547809114144374
ENSG00000001630.15 CYP51A1 protein_coding chr7 4074 -0.0596012995179886 7.24420765339136 -0.580853332458056 0.561886663136584 0.841248749337096 -0.580041454121351 0.626867393257705
ENSG00000001631.15 KRIT1 protein_coding chr7 6204 -0.110187281102886 5.35150825012408 -2.37070223670775 0.0189290090310321 0.253219279021319 -2.34692609374955 0.18868962300125
ENSG00000002016.17 RAD52 protein_coding chr12 4190 -0.170078223119799 4.4391298027941 -1.91135488421202 0.0572152757220039 0.36735699836898 -1.90166261955535 0.273740821777152
ENSG00000002330.13 BAD protein_coding chr11 1708 0.0114275333314331 3.95854543193734 0.0844235878181284 0.932823188997596 0.983170634933201 0.0842933632318132 0.732622323104499
ENSG00000002549.12 LAP3 protein_coding chr4 3785 -0.0976544746216294 4.3119529273422 -1.2010899762515 0.231454528352338 0.611495434587983 -1.19662044382706 0.455663737237312
ENSG00000002586.19 CD99 protein_coding chrX 4912 -0.0197431865966022 4.64787875895783 -0.102259690527602 0.918640344531913 0.978982925805274 -0.102146560243707 0.72950179744926
ENSG00000002587.9 HS3ST1 protein_coding chr4 8166 0.320174092286917 2.59928557701399 1.24815008440058 0.213804860395727 0.593822420029227 1.2431709086598 0.442494461709494
ENSG00000002745.12 WNT16 protein_coding chr7 3261 -0.0724805570060399 -1.57071549122066 -0.13521390018831 0.892574556830428 0.971369108818104 -0.135047198846141 0.723828263181007
ENSG00000002746.14 HECW1 protein_coding chr7 13965 0.0337164908887385 5.85536334260076 0.212529827270877 0.831979810983878 0.950278585481102 0.212163077370947 0.708112386756674
ENSG00000002822.15 MAD1L1 protein_coding chr7 7230 0.0544925370137524 3.65239768955895 0.573560648059378 0.566863912920916 0.843163398259501 0.572676262148857 0.628294118682186
ENSG00000002834.17 LASP1 protein_coding chr17 7061 0.146737583310497 7.38751589224541 2.03398390037236 0.0431830918172361 0.336263032391157 2.02193476338302 0.250570750601508
ENSG00000002919.14 SNX11 protein_coding chr17 3606 -0.0702457386109092 3.80756803369403 -1.10759295826056 0.269189769868766 0.646118966171345 -1.10493035093027 0.481463909904602
ENSG00000002933.7 TMEM176A protein_coding chr7 3479 0.34399144817237 -0.588554853518848 1.14481578001893 0.253556358469669 0.631995259708723 1.14175383019698 0.470939447240808
ENSG00000003056.7 M6PR protein_coding chr12 3777 -0.0801319978765676 4.6107529426309 -0.802931579943195 0.422828176528435 0.76167881993985 -0.801524309625308 0.567574830549877
ENSG00000003096.14 KLHL13 protein_coding chrX 6983 0.12760549468997 4.51567411957625 0.65613263326076 0.512460300144683 0.816473025821157 0.655011577308059 0.60840544222509
ENSG00000003137.8 CYP26B1 protein_coding chr2 5015 -1.10760946856649 2.15100617918693 -2.48777773948388 0.0146363898650538 0.230278436209029 -2.44125317256429 0.171594957072526
ENSG00000003147.17 ICA1 protein_coding chr7 4891 0.329356949423805 3.29446971564929 2.09699186142638 0.0372735953148427 0.316403425482236 2.08275462699119 0.235772107484442
ENSG00000003249.13 DBNDD1 protein_coding chr16 4791 0.32353158784864 4.66736804209727 2.78038792935202 0.00595746239341745 0.164015289836452 2.75011350880705 0.122218115955836
ENSG00000003393.14 ALS2 protein_coding chr2 10384 0.0558319199387498 6.02020271561536 0.885183935422638 0.377063346614991 0.73128633608699 0.883320100358749 0.544927477858438
ENSG00000003400.14 CASP10 protein_coding chr2 7598 -0.0487375976055391 1.89389462653383 -0.441638208025742 0.659336367335886 0.884505782515144 -0.440829593794332 0.659100931375595
ENSG00000003402.19 CFLAR protein_coding chr2 22529 0.0475449309679509 6.0213200337069 0.5639881690939 0.573361362060116 0.845474008482786 0.563107973875279 0.630015899794665
ENSG00000003436.15 TFPI protein_coding chr2 11714 0.114501416955367 4.40014905111468 0.869537257585122 0.386035683078743 0.737967497476555 0.866829049192591 0.549906031737432
ENSG00000003509.15 NDUFAF7 protein_coding chr2 3651 -0.0863068249708995 4.40147990517433 -1.32031043242493 0.188003875864013 0.56423586121464 -1.31650716289967 0.420447654490844
ENSG00000003756.16 RBM5 protein_coding chr3 10368 -0.197412299785759 8.17766646822414 -3.0578206451669 0.00248555811955129 0.116454836456704 -3.02509406337458 0.0867778285785174
ENSG00000003987.13 MTMR7 protein_coding chr8 5692 0.13997932435951 4.53467298236818 1.42723500549764 0.155528706888027 0.523701455532841 1.42027132158328 0.39024291748883
ENSG00000003989.17 SLC7A2 protein_coding chr8 7905 0.00655306791244113 1.12425071543525 0.0204026060374657 0.983746131059906 0.996766250962697 0.0203726128938998 0.742753272347347
ENSG00000004059.10 ARF5 protein_coding chr7 1871 0.0114656299971966 6.35334016142659 0.183666845737588 0.854523963561832 0.958364473100055 0.183349288019114 0.714137690565877
ENSG00000004139.13 SARM1 protein_coding chr17 11137 0.0530781096231776 5.83329267673726 0.663648235505917 0.50762192905638 0.813580769645047 0.662545118877293 0.60625024010303
ENSG00000004142.11 POLDIP2 protein_coding chr17 2121 0.0428238768978062 5.57850784801352 0.702218614753753 0.483314741651122 0.800765044505817 0.700981209874991 0.596700436650642
